MATERIAL,Product_Type,Product_SubType
MAT000145,Product_Type_1344,Product_SubType_1344-2
MAT000146,Product_Type_93,Product_SubType_93-1
MAT000147,Product_Type_377,Product_SubType_377-3
MAT000148,Product_Type_268,Product_SubType_268-2
MAT000149,Product_Type_315,Product_SubType_315-3
MAT000150,Product_Type_182,Product_SubType_182-3
MAT000151,Product_Type_344,Product_SubType_344-1
MAT000152,Product_Type_951,Product_SubType_951-7
MAT000153,Product_Type_916,Product_SubType_916-2
MAT000154,Product_Type_1434,Product_SubType_1434-2
MAT000155,Product_Type_427,Product_SubType_427-1
MAT000156,Product_Type_604,Product_SubType_604-1
MAT000157,Product_Type_733,Product_SubType_733-1
MAT000158,Product_Type_1137,Product_SubType_1137-7
MAT000159,Product_Type_993,Product_SubType_993-1
MAT000160,Product_Type_525,Product_SubType_525-1
MAT000161,Product_Type_1241,Product_SubType_1241-3
MAT000162,Product_Type_1141,Product_SubType_1141-3
MAT000163,Product_Type_520,Product_SubType_520-1
MAT000164,Product_Type_1043,Product_SubType_1043-1
MAT000165,Product_Type_1034,Product_SubType_1034-8
MAT000166,Product_Type_24,Product_SubType_24-3
MAT000167,Product_Type_906,Product_SubType_906-2
MAT000168,Product_Type_1244,Product_SubType_1244-3
MAT000169,Product_Type_429,Product_SubType_429-2
MAT000170,Product_Type_853,Product_SubType_853-1
MAT000171,Product_Type_281,Product_SubType_281-1
MAT000172,Product_Type_181,Product_SubType_181-1
MAT000173,Product_Type_1357,Product_SubType_1357-1
MAT000174,Product_Type_1034,Product_SubType_1034-3
MAT000175,Product_Type_177,Product_SubType_177-2
MAT000176,Product_Type_943,Product_SubType_943-3
MAT000177,Product_Type_761,Product_SubType_761-2
MAT000178,Product_Type_963,Product_SubType_963-2
MAT000179,Product_Type_408,Product_SubType_408-1
MAT000180,Product_Type_101,Product_SubType_101-2
MAT000181,Product_Type_506,Product_SubType_506-3
MAT000182,Product_Type_559,Product_SubType_559-2
MAT000183,Product_Type_1371,Product_SubType_1371-5
MAT000184,Product_Type_839,Product_SubType_839-3
MAT000185,Product_Type_537,Product_SubType_537-1
MAT000186,Product_Type_61,Product_SubType_61-3
MAT000187,Product_Type_1176,Product_SubType_1176-2
MAT000188,Product_Type_691,Product_SubType_691-2
MAT000189,Product_Type_757,Product_SubType_757-1
MAT000190,Product_Type_56,Product_SubType_56-3
MAT000191,Product_Type_1316,Product_SubType_1316-1
MAT000192,Product_Type_597,Product_SubType_597-1
MAT000193,Product_Type_24,Product_SubType_24-4
MAT000194,Product_Type_255,Product_SubType_255-1
MAT000195,Product_Type_1093,Product_SubType_1093-5
MAT000196,Product_Type_29,Product_SubType_29-1
MAT000197,Product_Type_527,Product_SubType_527-1
MAT000198,Product_Type_594,Product_SubType_594-2
MAT000199,Product_Type_373,Product_SubType_373-2
MAT000200,Product_Type_875,Product_SubType_875-2
MAT000201,Product_Type_853,Product_SubType_853-2
MAT000202,Product_Type_1128,Product_SubType_1128-1
MAT000203,Product_Type_96,Product_SubType_96-1
MAT000204,Product_Type_1261,Product_SubType_1261-3
MAT000205,Product_Type_971,Product_SubType_971-2
MAT000206,Product_Type_1024,Product_SubType_1024-3
MAT000207,Product_Type_493,Product_SubType_493-3
MAT000208,Product_Type_247,Product_SubType_247-1
MAT000209,Product_Type_1484,Product_SubType_1484-4
MAT000210,Product_Type_541,Product_SubType_541-1
MAT000211,Product_Type_674,Product_SubType_674-1
MAT000212,Product_Type_306,Product_SubType_306-4
MAT000213,Product_Type_227,Product_SubType_227-4
MAT000214,Product_Type_643,Product_SubType_643-3
MAT000215,Product_Type_61,Product_SubType_61-1
MAT000216,Product_Type_1091,Product_SubType_1091-3
MAT000217,Product_Type_565,Product_SubType_565-4
MAT000218,Product_Type_559,Product_SubType_559-1
MAT000219,Product_Type_1187,Product_SubType_1187-3
MAT000220,Product_Type_382,Product_SubType_382-5
MAT000221,Product_Type_709,Product_SubType_709-1
MAT000222,Product_Type_799,Product_SubType_799-7
MAT000223,Product_Type_1388,Product_SubType_1388-3
MAT000224,Product_Type_1209,Product_SubType_1209-1
MAT000225,Product_Type_497,Product_SubType_497-7
MAT000226,Product_Type_1058,Product_SubType_1058-3
MAT000227,Product_Type_804,Product_SubType_804-4
MAT000228,Product_Type_986,Product_SubType_986-4
MAT000229,Product_Type_68,Product_SubType_68-1
MAT000230,Product_Type_962,Product_SubType_962-4
MAT000231,Product_Type_128,Product_SubType_128-2
MAT000232,Product_Type_44,Product_SubType_44-3
MAT000233,Product_Type_438,Product_SubType_438-1
MAT000234,Product_Type_727,Product_SubType_727-1
MAT000235,Product_Type_277,Product_SubType_277-1
MAT000236,Product_Type_1343,Product_SubType_1343-1
MAT000237,Product_Type_101,Product_SubType_101-3
MAT000238,Product_Type_468,Product_SubType_468-1
MAT000239,Product_Type_90,Product_SubType_90-2
MAT000240,Product_Type_213,Product_SubType_213-3
MAT000241,Product_Type_146,Product_SubType_146-1
MAT000242,Product_Type_880,Product_SubType_880-1
MAT000243,Product_Type_1266,Product_SubType_1266-2
MAT000244,Product_Type_850,Product_SubType_850-1
MAT000245,Product_Type_620,Product_SubType_620-2
MAT000246,Product_Type_595,Product_SubType_595-2
MAT000247,Product_Type_168,Product_SubType_168-2
MAT000248,Product_Type_963,Product_SubType_963-1
MAT000249,Product_Type_515,Product_SubType_515-4
MAT000250,Product_Type_1143,Product_SubType_1143-2
MAT000251,Product_Type_720,Product_SubType_720-2
MAT000252,Product_Type_409,Product_SubType_409-1
MAT000253,Product_Type_1117,Product_SubType_1117-1
MAT000254,Product_Type_1030,Product_SubType_1030-1
MAT000255,Product_Type_451,Product_SubType_451-2
MAT000256,Product_Type_676,Product_SubType_676-5
MAT000257,Product_Type_1092,Product_SubType_1092-2
MAT000258,Product_Type_1374,Product_SubType_1374-1
MAT000259,Product_Type_887,Product_SubType_887-5
MAT000260,Product_Type_1431,Product_SubType_1431-3
MAT000261,Product_Type_1274,Product_SubType_1274-1
MAT000262,Product_Type_1430,Product_SubType_1430-4
MAT000263,Product_Type_128,Product_SubType_128-4
MAT000264,Product_Type_870,Product_SubType_870-3
MAT000265,Product_Type_416,Product_SubType_416-2
MAT000266,Product_Type_1279,Product_SubType_1279-2
MAT000267,Product_Type_509,Product_SubType_509-2
MAT000268,Product_Type_1352,Product_SubType_1352-2
MAT000269,Product_Type_175,Product_SubType_175-4
MAT000270,Product_Type_232,Product_SubType_232-2
MAT000271,Product_Type_799,Product_SubType_799-4
MAT000272,Product_Type_495,Product_SubType_495-1
MAT000273,Product_Type_776,Product_SubType_776-7
MAT000274,Product_Type_1164,Product_SubType_1164-1
MAT000275,Product_Type_248,Product_SubType_248-1
MAT000276,Product_Type_1107,Product_SubType_1107-4
MAT000277,Product_Type_1046,Product_SubType_1046-1
MAT000278,Product_Type_1390,Product_SubType_1390-2
MAT000279,Product_Type_967,Product_SubType_967-4
MAT000280,Product_Type_1150,Product_SubType_1150-3
MAT000281,Product_Type_268,Product_SubType_268-1
MAT000282,Product_Type_1379,Product_SubType_1379-3
MAT000283,Product_Type_1045,Product_SubType_1045-3
MAT000284,Product_Type_1461,Product_SubType_1461-3
MAT000285,Product_Type_268,Product_SubType_268-4
MAT000286,Product_Type_562,Product_SubType_562-1
MAT000287,Product_Type_1089,Product_SubType_1089-2
MAT000288,Product_Type_38,Product_SubType_38-2
MAT000289,Product_Type_1385,Product_SubType_1385-3
MAT000290,Product_Type_295,Product_SubType_295-1
MAT000291,Product_Type_1218,Product_SubType_1218-2
MAT000292,Product_Type_331,Product_SubType_331-1
MAT000293,Product_Type_390,Product_SubType_390-3
MAT000294,Product_Type_455,Product_SubType_455-2
MAT000295,Product_Type_57,Product_SubType_57-2
MAT000296,Product_Type_95,Product_SubType_95-5
MAT000297,Product_Type_728,Product_SubType_728-3
MAT000298,Product_Type_1204,Product_SubType_1204-4
MAT000299,Product_Type_1356,Product_SubType_1356-4
MAT000300,Product_Type_194,Product_SubType_194-5
MAT000301,Product_Type_872,Product_SubType_872-4
MAT000302,Product_Type_677,Product_SubType_677-1
MAT000303,Product_Type_508,Product_SubType_508-4
MAT000304,Product_Type_295,Product_SubType_295-1
MAT000305,Product_Type_104,Product_SubType_104-4
MAT000306,Product_Type_1370,Product_SubType_1370-3
MAT000307,Product_Type_1439,Product_SubType_1439-3
MAT000308,Product_Type_1382,Product_SubType_1382-7
MAT000309,Product_Type_731,Product_SubType_731-1
MAT000310,Product_Type_116,Product_SubType_116-2
MAT000311,Product_Type_818,Product_SubType_818-2
MAT000312,Product_Type_102,Product_SubType_102-2
MAT000313,Product_Type_682,Product_SubType_682-1
MAT000314,Product_Type_1077,Product_SubType_1077-7
MAT000315,Product_Type_1199,Product_SubType_1199-1
MAT000316,Product_Type_288,Product_SubType_288-2
MAT000317,Product_Type_1023,Product_SubType_1023-4
MAT000318,Product_Type_339,Product_SubType_339-4
MAT000319,Product_Type_1323,Product_SubType_1323-4
MAT000320,Product_Type_1314,Product_SubType_1314-2
MAT000321,Product_Type_844,Product_SubType_844-1
MAT000322,Product_Type_107,Product_SubType_107-2
MAT000323,Product_Type_120,Product_SubType_120-5
MAT000324,Product_Type_795,Product_SubType_795-1
MAT000325,Product_Type_96,Product_SubType_96-1
MAT000326,Product_Type_842,Product_SubType_842-1
MAT000327,Product_Type_62,Product_SubType_62-3
MAT000328,Product_Type_516,Product_SubType_516-2
MAT000329,Product_Type_802,Product_SubType_802-1
MAT000330,Product_Type_10,Product_SubType_10-3
MAT000331,Product_Type_939,Product_SubType_939-2
MAT000332,Product_Type_1467,Product_SubType_1467-2
MAT000333,Product_Type_888,Product_SubType_888-2
MAT000334,Product_Type_86,Product_SubType_86-3
MAT000335,Product_Type_1346,Product_SubType_1346-3
MAT000336,Product_Type_1355,Product_SubType_1355-3
MAT000337,Product_Type_1094,Product_SubType_1094-4
MAT000338,Product_Type_1178,Product_SubType_1178-1
MAT000339,Product_Type_1484,Product_SubType_1484-4
MAT000340,Product_Type_685,Product_SubType_685-4
MAT000341,Product_Type_659,Product_SubType_659-3
MAT000342,Product_Type_1071,Product_SubType_1071-2
MAT000343,Product_Type_317,Product_SubType_317-3
MAT000344,Product_Type_1165,Product_SubType_1165-4
MAT000345,Product_Type_1244,Product_SubType_1244-4
MAT000346,Product_Type_416,Product_SubType_416-1
MAT000347,Product_Type_473,Product_SubType_473-3
MAT000348,Product_Type_189,Product_SubType_189-3
MAT000349,Product_Type_434,Product_SubType_434-1
MAT000350,Product_Type_1344,Product_SubType_1344-3
MAT000351,Product_Type_869,Product_SubType_869-1
MAT000352,Product_Type_84,Product_SubType_84-3
MAT000353,Product_Type_609,Product_SubType_609-1
MAT000354,Product_Type_267,Product_SubType_267-2
MAT000355,Product_Type_1418,Product_SubType_1418-3
MAT000356,Product_Type_1200,Product_SubType_1200-4
MAT000357,Product_Type_91,Product_SubType_91-3
MAT000358,Product_Type_510,Product_SubType_510-1
MAT000359,Product_Type_443,Product_SubType_443-3
MAT000360,Product_Type_303,Product_SubType_303-2
MAT000361,Product_Type_894,Product_SubType_894-1
MAT000362,Product_Type_51,Product_SubType_51-3
MAT000363,Product_Type_45,Product_SubType_45-1
MAT000364,Product_Type_719,Product_SubType_719-6
MAT000365,Product_Type_1142,Product_SubType_1142-3
MAT000366,Product_Type_959,Product_SubType_959-7
MAT000367,Product_Type_44,Product_SubType_44-5
MAT000368,Product_Type_1314,Product_SubType_1314-2
MAT000369,Product_Type_1469,Product_SubType_1469-2
MAT000370,Product_Type_1340,Product_SubType_1340-1
MAT000371,Product_Type_314,Product_SubType_314-3
MAT000372,Product_Type_144,Product_SubType_144-1
MAT000373,Product_Type_508,Product_SubType_508-3
MAT000374,Product_Type_671,Product_SubType_671-5
MAT000375,Product_Type_887,Product_SubType_887-2
MAT000376,Product_Type_117,Product_SubType_117-1
MAT000377,Product_Type_400,Product_SubType_400-2
MAT000378,Product_Type_767,Product_SubType_767-3
MAT000379,Product_Type_1164,Product_SubType_1164-3
MAT000380,Product_Type_859,Product_SubType_859-2
MAT000381,Product_Type_612,Product_SubType_612-3
MAT000382,Product_Type_1335,Product_SubType_1335-2
MAT000383,Product_Type_1379,Product_SubType_1379-3
MAT000384,Product_Type_822,Product_SubType_822-1
MAT000385,Product_Type_1010,Product_SubType_1010-2
MAT000386,Product_Type_172,Product_SubType_172-7
MAT000387,Product_Type_1222,Product_SubType_1222-2
MAT000388,Product_Type_709,Product_SubType_709-6
MAT000389,Product_Type_999,Product_SubType_999-2
MAT000390,Product_Type_1426,Product_SubType_1426-3
MAT000391,Product_Type_824,Product_SubType_824-5
MAT000392,Product_Type_1021,Product_SubType_1021-1
MAT000393,Product_Type_1081,Product_SubType_1081-5
MAT000394,Product_Type_49,Product_SubType_49-1
MAT000395,Product_Type_1069,Product_SubType_1069-1
MAT000396,Product_Type_1318,Product_SubType_1318-4
MAT000397,Product_Type_562,Product_SubType_562-2
MAT000398,Product_Type_667,Product_SubType_667-2
MAT000399,Product_Type_824,Product_SubType_824-2
MAT000400,Product_Type_960,Product_SubType_960-1
MAT000401,Product_Type_350,Product_SubType_350-1
MAT000402,Product_Type_742,Product_SubType_742-1
MAT000403,Product_Type_941,Product_SubType_941-3
MAT000404,Product_Type_241,Product_SubType_241-2
MAT000405,Product_Type_1246,Product_SubType_1246-1
MAT000406,Product_Type_517,Product_SubType_517-6
MAT000407,Product_Type_870,Product_SubType_870-3
MAT000408,Product_Type_147,Product_SubType_147-3
MAT000409,Product_Type_42,Product_SubType_42-3
MAT000410,Product_Type_1150,Product_SubType_1150-4
MAT000411,Product_Type_69,Product_SubType_69-5
MAT000412,Product_Type_350,Product_SubType_350-2
MAT000413,Product_Type_483,Product_SubType_483-3
MAT000414,Product_Type_1367,Product_SubType_1367-2
MAT000415,Product_Type_542,Product_SubType_542-1
MAT000416,Product_Type_279,Product_SubType_279-4
MAT000417,Product_Type_1228,Product_SubType_1228-3
MAT000418,Product_Type_1460,Product_SubType_1460-3
MAT000419,Product_Type_36,Product_SubType_36-1
MAT000420,Product_Type_1398,Product_SubType_1398-2
MAT000421,Product_Type_1499,Product_SubType_1499-3
MAT000422,Product_Type_33,Product_SubType_33-1
MAT000423,Product_Type_1150,Product_SubType_1150-3
MAT000424,Product_Type_1151,Product_SubType_1151-1
MAT000425,Product_Type_393,Product_SubType_393-4
MAT000426,Product_Type_42,Product_SubType_42-4
MAT000427,Product_Type_872,Product_SubType_872-6
MAT000428,Product_Type_1365,Product_SubType_1365-4
MAT000429,Product_Type_247,Product_SubType_247-2
MAT000430,Product_Type_415,Product_SubType_415-4
MAT000431,Product_Type_408,Product_SubType_408-8
MAT000432,Product_Type_22,Product_SubType_22-1
MAT000433,Product_Type_1453,Product_SubType_1453-3
MAT000434,Product_Type_74,Product_SubType_74-3
MAT000435,Product_Type_1317,Product_SubType_1317-1
MAT000436,Product_Type_573,Product_SubType_573-7
MAT000437,Product_Type_149,Product_SubType_149-2
MAT000438,Product_Type_1424,Product_SubType_1424-1
MAT000439,Product_Type_574,Product_SubType_574-1
MAT000440,Product_Type_1039,Product_SubType_1039-4
MAT000441,Product_Type_372,Product_SubType_372-2
MAT000442,Product_Type_1343,Product_SubType_1343-1
MAT000443,Product_Type_913,Product_SubType_913-3
MAT000444,Product_Type_466,Product_SubType_466-2
MAT000445,Product_Type_607,Product_SubType_607-1
MAT000446,Product_Type_1060,Product_SubType_1060-4
MAT000447,Product_Type_968,Product_SubType_968-5
MAT000448,Product_Type_809,Product_SubType_809-3
MAT000449,Product_Type_416,Product_SubType_416-3
MAT000450,Product_Type_1420,Product_SubType_1420-1
MAT000451,Product_Type_712,Product_SubType_712-3
MAT000452,Product_Type_1238,Product_SubType_1238-4
MAT000453,Product_Type_1349,Product_SubType_1349-2
MAT000454,Product_Type_892,Product_SubType_892-2
MAT000455,Product_Type_172,Product_SubType_172-3
MAT000456,Product_Type_184,Product_SubType_184-2
MAT000457,Product_Type_1351,Product_SubType_1351-4
MAT000458,Product_Type_1100,Product_SubType_1100-4
MAT000459,Product_Type_267,Product_SubType_267-3
MAT000460,Product_Type_1048,Product_SubType_1048-2
MAT000461,Product_Type_216,Product_SubType_216-4
MAT000462,Product_Type_315,Product_SubType_315-3
MAT000463,Product_Type_231,Product_SubType_231-6
MAT000464,Product_Type_765,Product_SubType_765-1
MAT000465,Product_Type_300,Product_SubType_300-2
MAT000466,Product_Type_1458,Product_SubType_1458-2
MAT000467,Product_Type_786,Product_SubType_786-4
MAT000468,Product_Type_938,Product_SubType_938-4
MAT000469,Product_Type_835,Product_SubType_835-2
MAT000470,Product_Type_295,Product_SubType_295-3
MAT000471,Product_Type_77,Product_SubType_77-2
MAT000472,Product_Type_830,Product_SubType_830-4
MAT000473,Product_Type_100,Product_SubType_100-4
MAT000474,Product_Type_1280,Product_SubType_1280-1
MAT000475,Product_Type_424,Product_SubType_424-2
MAT000476,Product_Type_965,Product_SubType_965-2
MAT000477,Product_Type_118,Product_SubType_118-3
MAT000478,Product_Type_521,Product_SubType_521-1
MAT000479,Product_Type_206,Product_SubType_206-2
MAT000480,Product_Type_353,Product_SubType_353-2
MAT000481,Product_Type_968,Product_SubType_968-2
MAT000482,Product_Type_316,Product_SubType_316-3
MAT000483,Product_Type_288,Product_SubType_288-5
MAT000484,Product_Type_965,Product_SubType_965-1
MAT000485,Product_Type_661,Product_SubType_661-1
MAT000486,Product_Type_435,Product_SubType_435-3
MAT000487,Product_Type_567,Product_SubType_567-3
MAT000488,Product_Type_179,Product_SubType_179-2
MAT000489,Product_Type_1365,Product_SubType_1365-4
MAT000490,Product_Type_13,Product_SubType_13-4
MAT000491,Product_Type_443,Product_SubType_443-1
MAT000492,Product_Type_744,Product_SubType_744-1
MAT000493,Product_Type_865,Product_SubType_865-2
MAT000494,Product_Type_1290,Product_SubType_1290-1
MAT000495,Product_Type_1030,Product_SubType_1030-2
MAT000496,Product_Type_841,Product_SubType_841-2
MAT000497,Product_Type_977,Product_SubType_977-1
MAT000498,Product_Type_503,Product_SubType_503-7
MAT000499,Product_Type_524,Product_SubType_524-4
MAT000500,Product_Type_1180,Product_SubType_1180-1
MAT000501,Product_Type_849,Product_SubType_849-1
MAT000502,Product_Type_682,Product_SubType_682-4
MAT000503,Product_Type_1249,Product_SubType_1249-5
MAT000504,Product_Type_814,Product_SubType_814-1
MAT000505,Product_Type_209,Product_SubType_209-1
MAT000506,Product_Type_345,Product_SubType_345-5
MAT000507,Product_Type_243,Product_SubType_243-3
MAT000508,Product_Type_427,Product_SubType_427-1
MAT000509,Product_Type_325,Product_SubType_325-1
MAT000510,Product_Type_1070,Product_SubType_1070-3
MAT000511,Product_Type_88,Product_SubType_88-4
MAT000512,Product_Type_1378,Product_SubType_1378-1
MAT000513,Product_Type_1344,Product_SubType_1344-3
MAT000514,Product_Type_1367,Product_SubType_1367-3
MAT000515,Product_Type_248,Product_SubType_248-2
MAT000516,Product_Type_611,Product_SubType_611-1
MAT000517,Product_Type_1447,Product_SubType_1447-2
MAT000518,Product_Type_1061,Product_SubType_1061-5
MAT000519,Product_Type_541,Product_SubType_541-4
MAT000520,Product_Type_535,Product_SubType_535-2
MAT000521,Product_Type_1401,Product_SubType_1401-4
MAT000522,Product_Type_710,Product_SubType_710-1
MAT000523,Product_Type_647,Product_SubType_647-3
MAT000524,Product_Type_960,Product_SubType_960-2
MAT000525,Product_Type_860,Product_SubType_860-3
MAT000526,Product_Type_465,Product_SubType_465-1
MAT000527,Product_Type_337,Product_SubType_337-6
MAT000528,Product_Type_492,Product_SubType_492-3
MAT000529,Product_Type_451,Product_SubType_451-2
MAT000530,Product_Type_484,Product_SubType_484-2
MAT000531,Product_Type_310,Product_SubType_310-3
MAT000532,Product_Type_623,Product_SubType_623-2
MAT000533,Product_Type_936,Product_SubType_936-4
MAT000534,Product_Type_153,Product_SubType_153-3
MAT000535,Product_Type_1186,Product_SubType_1186-1
MAT000536,Product_Type_576,Product_SubType_576-1
MAT000537,Product_Type_425,Product_SubType_425-2
MAT000538,Product_Type_1335,Product_SubType_1335-3
MAT000539,Product_Type_1435,Product_SubType_1435-2
MAT000540,Product_Type_1182,Product_SubType_1182-4
MAT000541,Product_Type_729,Product_SubType_729-3
MAT000542,Product_Type_1078,Product_SubType_1078-2
MAT000543,Product_Type_1051,Product_SubType_1051-2
MAT000544,Product_Type_1288,Product_SubType_1288-1
