material,material_type
MAT000383,Material_Type_1
MAT000384,Material_Type_1
MAT000385,Material_Type_2
MAT000386,Material_Type_1
MAT000387,Material_Type_1
MAT000388,Material_Type_2
MAT000389,Material_Type_1
MAT000390,Material_Type_2
MAT000391,Material_Type_2
MAT000392,Material_Type_2
MAT000393,Material_Type_2
MAT000394,Material_Type_2
MAT000395,Material_Type_2
MAT000396,Material_Type_2
MAT000397,Material_Type_1
MAT000398,Material_Type_2
MAT000399,Material_Type_1
MAT000400,Material_Type_2
MAT000401,Material_Type_1
MAT000402,Material_Type_1
MAT000403,Material_Type_2
MAT000404,Material_Type_1
MAT000405,Material_Type_1
MAT000406,Material_Type_1
MAT000407,Material_Type_1
MAT000408,Material_Type_2
MAT000409,Material_Type_2
MAT000410,Material_Type_2
MAT000411,Material_Type_1
MAT000412,Material_Type_2
MAT000413,Material_Type_1
MAT000414,Material_Type_2
MAT000415,Material_Type_1
MAT000416,Material_Type_1
MAT000417,Material_Type_1
MAT000418,Material_Type_1
MAT000419,Material_Type_2
MAT000420,Material_Type_2
MAT000421,Material_Type_2
MAT000422,Material_Type_1
MAT000423,Material_Type_1
MAT000424,Material_Type_1
MAT000425,Material_Type_1
MAT000426,Material_Type_1
MAT000427,Material_Type_2
MAT000428,Material_Type_2
MAT000429,Material_Type_2
MAT000430,Material_Type_2
MAT000431,Material_Type_1
MAT000432,Material_Type_2
MAT000433,Material_Type_1
MAT000434,Material_Type_1
MAT000435,Material_Type_2
MAT000436,Material_Type_2
MAT000437,Material_Type_1
MAT000438,Material_Type_1
MAT000439,Material_Type_1
MAT000440,Material_Type_2
MAT000441,Material_Type_1
MAT000442,Material_Type_1
MAT000443,Material_Type_1
MAT000444,Material_Type_1
MAT000445,Material_Type_2
MAT000446,Material_Type_2
MAT000447,Material_Type_2
MAT000448,Material_Type_1
MAT000449,Material_Type_2
MAT000450,Material_Type_1
MAT000451,Material_Type_2
MAT000452,Material_Type_1
MAT000453,Material_Type_2
MAT000454,Material_Type_2
MAT000455,Material_Type_1
MAT000456,Material_Type_2
MAT000457,Material_Type_2
MAT000458,Material_Type_2
MAT000459,Material_Type_2
MAT000460,Material_Type_1
MAT000461,Material_Type_1
MAT000462,Material_Type_1
MAT000463,Material_Type_2
MAT000464,Material_Type_1
MAT000465,Material_Type_2
MAT000466,Material_Type_2
MAT000467,Material_Type_1
MAT000468,Material_Type_2
MAT000469,Material_Type_1
MAT000470,Material_Type_2
MAT000471,Material_Type_1
MAT000472,Material_Type_1
MAT000473,Material_Type_1
MAT000474,Material_Type_1
MAT000475,Material_Type_1
MAT000476,Material_Type_1
MAT000477,Material_Type_2
MAT000478,Material_Type_1
MAT000479,Material_Type_2
MAT000480,Material_Type_2
MAT000481,Material_Type_2
MAT000482,Material_Type_2
MAT000483,Material_Type_2
MAT000484,Material_Type_2
MAT000485,Material_Type_2
MAT000486,Material_Type_1
MAT000487,Material_Type_1
MAT000488,Material_Type_1
MAT000489,Material_Type_1
MAT000490,Material_Type_1
MAT000491,Material_Type_1
MAT000492,Material_Type_2
MAT000493,Material_Type_2
MAT000494,Material_Type_1
MAT000495,Material_Type_2
MAT000496,Material_Type_2
MAT000497,Material_Type_1
MAT000498,Material_Type_2
MAT000499,Material_Type_2
MAT000500,Material_Type_2
MAT000501,Material_Type_1
MAT000502,Material_Type_2
MAT000503,Material_Type_2
MAT000504,Material_Type_1
MAT000505,Material_Type_2
MAT000506,Material_Type_1
MAT000507,Material_Type_2
MAT000508,Material_Type_2
MAT000509,Material_Type_2
MAT000510,Material_Type_2
MAT000511,Material_Type_1
MAT000512,Material_Type_2
MAT000513,Material_Type_2
MAT000514,Material_Type_2
MAT000515,Material_Type_1
MAT000516,Material_Type_2
MAT000517,Material_Type_2
MAT000518,Material_Type_2
MAT000519,Material_Type_2
MAT000520,Material_Type_1
MAT000521,Material_Type_2
MAT000522,Material_Type_1
MAT000523,Material_Type_1
MAT000524,Material_Type_1
MAT000525,Material_Type_2
MAT000526,Material_Type_2
MAT000527,Material_Type_2
MAT000528,Material_Type_2
MAT000529,Material_Type_2
MAT000530,Material_Type_1
MAT000531,Material_Type_1
MAT000532,Material_Type_1
MAT000533,Material_Type_1
MAT000534,Material_Type_2
MAT000535,Material_Type_2
MAT000536,Material_Type_2
MAT000537,Material_Type_2
MAT000538,Material_Type_2
MAT000539,Material_Type_2
MAT000540,Material_Type_1
MAT000541,Material_Type_2
MAT000542,Material_Type_1
MAT000543,Material_Type_2
MAT000544,Material_Type_1
MAT000545,Material_Type_2
MAT000546,Material_Type_2
MAT000547,Material_Type_1
MAT000548,Material_Type_2
MAT000549,Material_Type_2
MAT000550,Material_Type_1
MAT000551,Material_Type_1
MAT000552,Material_Type_2
MAT000553,Material_Type_2
MAT000554,Material_Type_2
MAT000555,Material_Type_1
MAT000556,Material_Type_2
MAT000557,Material_Type_2
MAT000558,Material_Type_1
MAT000559,Material_Type_1
MAT000560,Material_Type_1
MAT000561,Material_Type_1
MAT000562,Material_Type_1
MAT000563,Material_Type_1
MAT000564,Material_Type_1
MAT000565,Material_Type_1
MAT000566,Material_Type_2
MAT000567,Material_Type_1
MAT000568,Material_Type_2
MAT000569,Material_Type_1
MAT000570,Material_Type_2
MAT000571,Material_Type_1
MAT000572,Material_Type_2
MAT000573,Material_Type_1
MAT000574,Material_Type_1
MAT000575,Material_Type_1
MAT000576,Material_Type_1
MAT000577,Material_Type_2
MAT000578,Material_Type_1
MAT000579,Material_Type_2
MAT000580,Material_Type_2
MAT000581,Material_Type_1
MAT000582,Material_Type_1
MAT000583,Material_Type_2
MAT000584,Material_Type_2
MAT000585,Material_Type_2
MAT000586,Material_Type_2
MAT000587,Material_Type_2
MAT000588,Material_Type_1
MAT000589,Material_Type_1
MAT000590,Material_Type_1
MAT000591,Material_Type_1
MAT000592,Material_Type_2
MAT000593,Material_Type_1
MAT000594,Material_Type_1
MAT000595,Material_Type_1
MAT000596,Material_Type_1
MAT000597,Material_Type_2
MAT000598,Material_Type_2
MAT000599,Material_Type_1
MAT000600,Material_Type_1
MAT000601,Material_Type_1
MAT000602,Material_Type_1
MAT000603,Material_Type_1
MAT000604,Material_Type_1
MAT000605,Material_Type_1
MAT000606,Material_Type_2
MAT000607,Material_Type_1
MAT000608,Material_Type_2
MAT000609,Material_Type_1
MAT000610,Material_Type_1
MAT000611,Material_Type_2
MAT000612,Material_Type_2
MAT000613,Material_Type_1
MAT000614,Material_Type_1
MAT000615,Material_Type_1
MAT000616,Material_Type_1
MAT000617,Material_Type_1
MAT000618,Material_Type_2
MAT000619,Material_Type_2
MAT000620,Material_Type_1
MAT000621,Material_Type_1
MAT000622,Material_Type_1
MAT000623,Material_Type_2
MAT000624,Material_Type_1
MAT000625,Material_Type_2
MAT000626,Material_Type_2
MAT000627,Material_Type_2
MAT000628,Material_Type_1
MAT000629,Material_Type_2
MAT000630,Material_Type_1
MAT000631,Material_Type_1
MAT000632,Material_Type_2
MAT000633,Material_Type_2
MAT000634,Material_Type_2
MAT000635,Material_Type_1
MAT000636,Material_Type_1
MAT000637,Material_Type_2
MAT000638,Material_Type_2
MAT000639,Material_Type_2
MAT000640,Material_Type_2
MAT000641,Material_Type_2
MAT000642,Material_Type_2
MAT000643,Material_Type_2
MAT000644,Material_Type_1
MAT000645,Material_Type_2
MAT000646,Material_Type_1
MAT000647,Material_Type_2
MAT000648,Material_Type_1
MAT000649,Material_Type_2
MAT000650,Material_Type_2
MAT000651,Material_Type_1
MAT000652,Material_Type_2
MAT000653,Material_Type_1
MAT000654,Material_Type_2
MAT000655,Material_Type_2
MAT000656,Material_Type_2
MAT000657,Material_Type_2
MAT000658,Material_Type_2
MAT000659,Material_Type_1
MAT000660,Material_Type_2
MAT000661,Material_Type_1
MAT000662,Material_Type_1
MAT000663,Material_Type_2
MAT000664,Material_Type_2
MAT000665,Material_Type_1
MAT000666,Material_Type_1
MAT000667,Material_Type_1
MAT000668,Material_Type_1
MAT000669,Material_Type_1
MAT000670,Material_Type_1
MAT000671,Material_Type_1
MAT000672,Material_Type_1
MAT000673,Material_Type_2
MAT000674,Material_Type_1
MAT000675,Material_Type_2
MAT000676,Material_Type_2
MAT000677,Material_Type_2
MAT000678,Material_Type_2
MAT000679,Material_Type_1
MAT000680,Material_Type_2
MAT000681,Material_Type_2
MAT000682,Material_Type_2
MAT000683,Material_Type_2
MAT000684,Material_Type_1
MAT000685,Material_Type_2
MAT000686,Material_Type_1
MAT000687,Material_Type_1
MAT000688,Material_Type_2
MAT000689,Material_Type_1
MAT000690,Material_Type_2
MAT000691,Material_Type_1
MAT000692,Material_Type_2
MAT000693,Material_Type_1
MAT000694,Material_Type_2
MAT000695,Material_Type_2
MAT000696,Material_Type_2
MAT000697,Material_Type_2
MAT000698,Material_Type_1
MAT000699,Material_Type_2
MAT000700,Material_Type_1
MAT000701,Material_Type_2
MAT000702,Material_Type_1
MAT000703,Material_Type_2
MAT000704,Material_Type_1
MAT000705,Material_Type_1
MAT000706,Material_Type_2
MAT000707,Material_Type_2
MAT000708,Material_Type_1
MAT000709,Material_Type_2
MAT000710,Material_Type_2
MAT000711,Material_Type_2
MAT000712,Material_Type_2
MAT000713,Material_Type_2
MAT000714,Material_Type_2
MAT000715,Material_Type_2
MAT000716,Material_Type_2
MAT000717,Material_Type_2
MAT000718,Material_Type_2
MAT000719,Material_Type_2
MAT000720,Material_Type_1
MAT000721,Material_Type_2
MAT000722,Material_Type_1
MAT000723,Material_Type_2
MAT000724,Material_Type_2
MAT000725,Material_Type_1
MAT000726,Material_Type_1
MAT000727,Material_Type_2
MAT000728,Material_Type_2
MAT000729,Material_Type_1
MAT000730,Material_Type_1
MAT000731,Material_Type_1
MAT000732,Material_Type_2
MAT000733,Material_Type_1
MAT000734,Material_Type_2
MAT000735,Material_Type_2
MAT000736,Material_Type_1
MAT000737,Material_Type_2
MAT000738,Material_Type_1
MAT000739,Material_Type_1
MAT000740,Material_Type_1
MAT000741,Material_Type_2
MAT000742,Material_Type_1
MAT000743,Material_Type_2
MAT000744,Material_Type_1
MAT000745,Material_Type_1
MAT000746,Material_Type_1
MAT000747,Material_Type_1
MAT000748,Material_Type_2
MAT000749,Material_Type_2
MAT000750,Material_Type_1
MAT000751,Material_Type_2
MAT000752,Material_Type_1
MAT000753,Material_Type_1
MAT000754,Material_Type_1
MAT000755,Material_Type_2
MAT000756,Material_Type_2
MAT000757,Material_Type_2
MAT000758,Material_Type_2
MAT000759,Material_Type_1
MAT000760,Material_Type_1
MAT000761,Material_Type_1
MAT000762,Material_Type_2
MAT000763,Material_Type_1
MAT000764,Material_Type_2
MAT000765,Material_Type_2
MAT000766,Material_Type_2
MAT000767,Material_Type_2
MAT000768,Material_Type_1
MAT000769,Material_Type_2
MAT000770,Material_Type_1
MAT000771,Material_Type_1
MAT000772,Material_Type_1
MAT000773,Material_Type_1
MAT000774,Material_Type_1
MAT000775,Material_Type_1
MAT000776,Material_Type_2
MAT000777,Material_Type_1
MAT000778,Material_Type_2
MAT000779,Material_Type_2
MAT000780,Material_Type_1
MAT000781,Material_Type_2
MAT000782,Material_Type_2
MAT000783,Material_Type_1
MAT000784,Material_Type_2
MAT000785,Material_Type_1
MAT000786,Material_Type_1
MAT000787,Material_Type_2
MAT000788,Material_Type_2
MAT000789,Material_Type_1
MAT000790,Material_Type_2
MAT000791,Material_Type_1
MAT000792,Material_Type_1
MAT000793,Material_Type_1
MAT000794,Material_Type_2
MAT000795,Material_Type_1
MAT000796,Material_Type_1
MAT000797,Material_Type_1
MAT000798,Material_Type_2
MAT000799,Material_Type_1
MAT000800,Material_Type_2
MAT000801,Material_Type_1
MAT000802,Material_Type_2
MAT000803,Material_Type_1
MAT000804,Material_Type_1
MAT000805,Material_Type_2
MAT000806,Material_Type_1
MAT000807,Material_Type_1
MAT000808,Material_Type_2
MAT000809,Material_Type_2
MAT000810,Material_Type_2
MAT000811,Material_Type_2
MAT000812,Material_Type_2
MAT000813,Material_Type_2
MAT000814,Material_Type_2
MAT000815,Material_Type_2
MAT000816,Material_Type_2
MAT000817,Material_Type_1
MAT000818,Material_Type_2
MAT000819,Material_Type_2
MAT000820,Material_Type_1
MAT000821,Material_Type_1
MAT000822,Material_Type_1
MAT000823,Material_Type_1
MAT000824,Material_Type_1
MAT000825,Material_Type_2
MAT000826,Material_Type_2
MAT000827,Material_Type_1
MAT000828,Material_Type_1
MAT000829,Material_Type_1
MAT000830,Material_Type_1
MAT000831,Material_Type_1
MAT000832,Material_Type_2
MAT000833,Material_Type_1
MAT000834,Material_Type_2
MAT000835,Material_Type_2
MAT000836,Material_Type_2
MAT000837,Material_Type_1
MAT000838,Material_Type_1
MAT000839,Material_Type_2
MAT000840,Material_Type_2
MAT000841,Material_Type_1
MAT000842,Material_Type_2
MAT000843,Material_Type_2
MAT000844,Material_Type_2
MAT000845,Material_Type_1
MAT000846,Material_Type_2
MAT000847,Material_Type_2
MAT000848,Material_Type_2
MAT000849,Material_Type_1
MAT000850,Material_Type_2
MAT000851,Material_Type_2
MAT000852,Material_Type_2
MAT000853,Material_Type_1
MAT000854,Material_Type_1
MAT000855,Material_Type_2
MAT000856,Material_Type_2
MAT000857,Material_Type_1
MAT000858,Material_Type_2
MAT000859,Material_Type_1
MAT000860,Material_Type_1
MAT000861,Material_Type_1
MAT000862,Material_Type_1
MAT000863,Material_Type_1
MAT000864,Material_Type_1
MAT000865,Material_Type_2
MAT000866,Material_Type_1
MAT000867,Material_Type_1
MAT000868,Material_Type_1
MAT000869,Material_Type_1
MAT000870,Material_Type_1
MAT000871,Material_Type_1
MAT000872,Material_Type_1
MAT000873,Material_Type_1
MAT000874,Material_Type_2
MAT000875,Material_Type_1
MAT000876,Material_Type_2
MAT000877,Material_Type_2
MAT000878,Material_Type_2
MAT000879,Material_Type_2
MAT000880,Material_Type_1
MAT000881,Material_Type_2
MAT000882,Material_Type_1
MAT000883,Material_Type_2
MAT000884,Material_Type_2
MAT000885,Material_Type_1
MAT000886,Material_Type_2
MAT000887,Material_Type_1
MAT000888,Material_Type_2
MAT000889,Material_Type_2
MAT000890,Material_Type_1
MAT000891,Material_Type_1
MAT000892,Material_Type_1
MAT000893,Material_Type_2
MAT000894,Material_Type_2
MAT000895,Material_Type_1
MAT000896,Material_Type_1
MAT000897,Material_Type_2
MAT000898,Material_Type_2
MAT000899,Material_Type_1
MAT000900,Material_Type_2
MAT000901,Material_Type_1
MAT000902,Material_Type_1
MAT000903,Material_Type_2
MAT000904,Material_Type_2
MAT000905,Material_Type_2
MAT000906,Material_Type_2
MAT000907,Material_Type_2
MAT000908,Material_Type_1
MAT000909,Material_Type_2
MAT000910,Material_Type_2
MAT000911,Material_Type_2
MAT000912,Material_Type_1
MAT000913,Material_Type_1
MAT000914,Material_Type_1
MAT000915,Material_Type_1
MAT000916,Material_Type_1
MAT000917,Material_Type_1
MAT000918,Material_Type_1
MAT000919,Material_Type_1
MAT000920,Material_Type_1
MAT000921,Material_Type_1
MAT000922,Material_Type_2
MAT000923,Material_Type_1
MAT000924,Material_Type_2
MAT000925,Material_Type_2
MAT000926,Material_Type_2
MAT000927,Material_Type_1
MAT000928,Material_Type_2
MAT000929,Material_Type_2
MAT000930,Material_Type_1
MAT000931,Material_Type_2
MAT000932,Material_Type_2
MAT000933,Material_Type_1
MAT000934,Material_Type_2
MAT000935,Material_Type_1
MAT000936,Material_Type_2
MAT000937,Material_Type_2
MAT000938,Material_Type_2
MAT000939,Material_Type_1
MAT000940,Material_Type_1
MAT000941,Material_Type_2
MAT000942,Material_Type_1
MAT000943,Material_Type_2
MAT000944,Material_Type_1
MAT000945,Material_Type_2
MAT000946,Material_Type_2
MAT000947,Material_Type_1
MAT000948,Material_Type_2
MAT000949,Material_Type_1
MAT000950,Material_Type_1
MAT000951,Material_Type_1
MAT000952,Material_Type_2
MAT000953,Material_Type_1
MAT000954,Material_Type_1
MAT000955,Material_Type_1
MAT000956,Material_Type_2
MAT000957,Material_Type_1
MAT000958,Material_Type_2
MAT000959,Material_Type_2
MAT000960,Material_Type_1
MAT000961,Material_Type_2
MAT000962,Material_Type_2
MAT000963,Material_Type_1
MAT000964,Material_Type_2
MAT000965,Material_Type_1
MAT000966,Material_Type_2
MAT000967,Material_Type_1
MAT000968,Material_Type_2
MAT000969,Material_Type_2
MAT000970,Material_Type_2
MAT000971,Material_Type_2
MAT000972,Material_Type_2
MAT000973,Material_Type_1
MAT000974,Material_Type_2
MAT000975,Material_Type_2
MAT000976,Material_Type_2
MAT000977,Material_Type_2
MAT000978,Material_Type_2
MAT000979,Material_Type_1
MAT000980,Material_Type_2
MAT000981,Material_Type_2
MAT000982,Material_Type_2
MAT000983,Material_Type_1
MAT000984,Material_Type_1
MAT000985,Material_Type_1
MAT000986,Material_Type_2
MAT000987,Material_Type_1
MAT000988,Material_Type_2
MAT000989,Material_Type_1
MAT000990,Material_Type_1
MAT000991,Material_Type_1
MAT000992,Material_Type_1
MAT000993,Material_Type_2
MAT000994,Material_Type_2
MAT000995,Material_Type_2
MAT000996,Material_Type_2
MAT000997,Material_Type_2
MAT000998,Material_Type_2
MAT000999,Material_Type_2
