plant,plant_types,sourcing_vendor,material,brand,sub_brand,product_type,product_subtype,window_tag,customer,ship_to_customer,key_account,key_account_grouper,country
Plant_201,Plant_Type_4,Vendor_435,MAT000541,Brand_2078,Sub_Brand_123,Product_Type_729,Product_SubType_729-3,Null,Customer_4721,ShipToCustomer_943,Key_Account_185,Region_8,Country_9
Plant_298,Plant_Type_2,Vendor_613,MAT000321,Brand_1115,Sub_Brand_81,Product_Type_844,Product_SubType_844-1,Null,Customer_3687,ShipToCustomer_13,Key_Account_347,Region_8,Country_9
Plant_37,Plant_Type_2,Vendor_344,MAT002412,Brand_329,Sub_Brand_148,Product_Type_1226,Product_SubType_1226-4,Null,Customer_4331,ShipToCustomer_415,Key_Account_280,Region_32,Country_11
Plant_252,Plant_Type_1,Vendor_467,MAT002903,Brand_4614,Sub_Brand_128,Product_Type_894,Product_SubType_894-1,WindowQ4,Customer_934,ShipToCustomer_138,Key_Account_305,Region_18,Country_10
Plant_510,Plant_Type_4,Vendor_449,MAT002191,Brand_3790,Sub_Brand_34,Product_Type_783,Product_SubType_783-2,Null,Customer_6465,ShipToCustomer_257,Key_Account_299,Region_39,Country_15
Plant_433,Plant_Type_4,Vendor_520,MAT002399,Brand_388,Sub_Brand_84,Product_Type_1197,Product_SubType_1197-2,WindowQ1,Customer_3808,ShipToCustomer_822,Key_Account_36,Region_41,Country_12
Plant_13,Plant_Type_3,Vendor_631,MAT000457,Brand_5239,Sub_Brand_33,Product_Type_1351,Product_SubType_1351-4,Null,Customer_4993,ShipToCustomer_112,Key_Account_61,Region_43,Country_7
Plant_21,Plant_Type_4,Vendor_736,MAT000689,Brand_5177,Sub_Brand_2,Product_Type_1416,Product_SubType_1416-4,WindowQ3,Customer_1274,ShipToCustomer_693,Key_Account_108,Region_14,Country_15
Plant_773,Plant_Type_4,Vendor_615,MAT000268,Brand_3016,Sub_Brand_17,Product_Type_1352,Product_SubType_1352-2,WindowQ3,Customer_7571,ShipToCustomer_126,Key_Account_109,Region_40,Country_12
Plant_54,Plant_Type_3,Vendor_258,MAT002489,Brand_6836,Sub_Brand_14,Product_Type_426,Product_SubType_426-5,Null,Customer_1422,ShipToCustomer_757,Key_Account_20,Region_2,Country_13
Plant_208,Plant_Type_1,Vendor_855,MAT002181,Brand_1868,Sub_Brand_109,Product_Type_671,Product_SubType_671-5,WindowQ4,Customer_1385,ShipToCustomer_100,Key_Account_385,Region_8,Country_13
Plant_205,Plant_Type_1,Vendor_191,MAT002469,Brand_7894,Sub_Brand_43,Product_Type_362,Product_SubType_362-6,Null,Customer_3662,ShipToCustomer_264,Key_Account_185,Region_8,Country_2
Plant_96,Plant_Type_2,Vendor_569,MAT001837,Brand_1462,Sub_Brand_8,Product_Type_1462,Product_SubType_1462-4,Null,Customer_5922,ShipToCustomer_804,Key_Account_184,Region_23,Country_3
Plant_712,Plant_Type_4,Vendor_371,MAT000484,Brand_7225,Sub_Brand_92,Product_Type_965,Product_SubType_965-1,WindowQ1,Customer_6963,ShipToCustomer_906,Key_Account_158,Region_25,Country_11
Plant_585,Plant_Type_4,Vendor_51,MAT001892,Brand_5874,Sub_Brand_147,Product_Type_542,Product_SubType_542-4,Null,Customer_2710,ShipToCustomer_445,Key_Account_398,WorldWide,Country_4
Plant_751,Plant_Type_2,Vendor_217,MAT000622,Brand_1161,Sub_Brand_76,Product_Type_324,Product_SubType_324-3,WindowQ4,Customer_5076,ShipToCustomer_751,Key_Account_181,Region_10,Country_7
Plant_480,Plant_Type_2,Vendor_848,MAT000204,Brand_7453,Sub_Brand_21,Product_Type_1261,Product_SubType_1261-3,Null,Customer_3747,ShipToCustomer_509,Key_Account_155,Region_20,Country_15
Plant_592,Plant_Type_3,Vendor_365,MAT002306,Brand_1722,Sub_Brand_65,Product_Type_820,Product_SubType_820-4,WindowQ4,Customer_306,ShipToCustomer_971,Key_Account_138,Region_2,Country_12
Plant_645,Plant_Type_3,Vendor_523,MAT001522,Brand_7522,Sub_Brand_32,Product_Type_436,Product_SubType_436-5,Null,Customer_5127,ShipToCustomer_704,Key_Account_285,Region_27,Country_8
Plant_387,Plant_Type_1,Vendor_127,MAT002567,Brand_1582,Sub_Brand_114,Product_Type_678,Product_SubType_678-1,Null,Customer_4167,ShipToCustomer_574,Key_Account_253,Region_47,Country_6
Plant_329,Plant_Type_1,Vendor_370,MAT000789,Brand_7106,Sub_Brand_77,Product_Type_812,Product_SubType_812-4,WindowQ2,Customer_2,ShipToCustomer_613,Key_Account_57,Region_4,Country_15
Plant_166,Plant_Type_1,Vendor_941,MAT001530,Brand_1222,Sub_Brand_122,Product_Type_158,Product_SubType_158-1,WindowQ4,Customer_3556,ShipToCustomer_131,Key_Account_132,Region_24,Country_13
Plant_692,Plant_Type_3,Vendor_787,MAT000721,Brand_6895,Sub_Brand_69,Product_Type_809,Product_SubType_809-1,WindowQ4,Customer_5964,ShipToCustomer_307,Key_Account_176,Region_43,Country_13
Plant_729,Plant_Type_4,Vendor_727,MAT000232,Brand_5014,Sub_Brand_4,Product_Type_44,Product_SubType_44-3,Null,Customer_1493,ShipToCustomer_566,Key_Account_153,Region_28,Country_9
Plant_566,Plant_Type_3,Vendor_605,MAT001456,Brand_1736,Sub_Brand_69,Product_Type_1468,Product_SubType_1468-1,WindowQ2,Customer_7033,ShipToCustomer_393,Key_Account_303,Region_40,Country_8
Plant_419,Plant_Type_1,Vendor_280,MAT000961,Brand_2876,Sub_Brand_82,Product_Type_1223,Product_SubType_1223-3,Null,Customer_1993,ShipToCustomer_293,Key_Account_163,Region_49,Country_9
Plant_643,Plant_Type_4,Vendor_563,MAT000248,Brand_6967,Sub_Brand_114,Product_Type_963,Product_SubType_963-1,Null,Customer_1733,ShipToCustomer_346,Key_Account_5,Region_19,Country_5
Plant_560,Plant_Type_3,Vendor_364,MAT000747,Brand_7103,Sub_Brand_105,Product_Type_799,Product_SubType_799-2,WindowQ3,Customer_6737,ShipToCustomer_428,Key_Account_395,Region_4,Country_4
Plant_705,Plant_Type_2,Vendor_6,MAT002856,Brand_5581,Sub_Brand_61,Product_Type_351,Product_SubType_351-2,WindowQ4,Customer_4057,ShipToCustomer_736,Key_Account_224,Region_37,Country_8
Plant_513,Plant_Type_1,Vendor_248,MAT002065,Brand_4604,Sub_Brand_145,Product_Type_147,Product_SubType_147-1,Null,Customer_77,ShipToCustomer_225,Key_Account_287,Region_10,Country_6
Plant_225,Plant_Type_3,Vendor_74,MAT001636,Brand_1547,Sub_Brand_71,Product_Type_1400,Product_SubType_1400-4,Null,Customer_876,ShipToCustomer_773,Key_Account_385,Region_8,Country_13
Plant_75,Plant_Type_2,Vendor_879,MAT001727,Brand_6307,Sub_Brand_24,Product_Type_1479,Product_SubType_1479-4,WindowQ4,Customer_2930,ShipToCustomer_325,Key_Account_278,Region_10,Country_5
Plant_241,Plant_Type_1,Vendor_409,MAT002260,Brand_3023,Sub_Brand_3,Product_Type_1488,Product_SubType_1488-5,WindowQ4,Customer_6759,ShipToCustomer_805,Key_Account_109,Region_40,Country_8
Plant_659,Plant_Type_2,Vendor_687,MAT001620,Brand_1857,Sub_Brand_77,Product_Type_809,Product_SubType_809-1,WindowQ4,Customer_3333,ShipToCustomer_198,Key_Account_186,Region_14,Country_10
Plant_492,Plant_Type_1,Vendor_307,MAT002307,Brand_1518,Sub_Brand_93,Product_Type_689,Product_SubType_689-2,WindowQ1,Customer_1712,ShipToCustomer_230,Key_Account_109,Region_40,Country_1
Plant_633,Plant_Type_4,Vendor_448,MAT002692,Brand_5515,Sub_Brand_64,Product_Type_495,Product_SubType_495-2,Null,Customer_5579,ShipToCustomer_524,Key_Account_114,Region_9,Country_2
Plant_667,Plant_Type_4,Vendor_30,MAT002492,Brand_6877,Sub_Brand_61,Product_Type_1138,Product_SubType_1138-3,WindowQ4,Customer_6238,ShipToCustomer_541,Key_Account_265,Region_22,Country_10
Plant_93,Plant_Type_4,Vendor_142,MAT001152,Brand_5638,Sub_Brand_84,Product_Type_853,Product_SubType_853-1,WindowQ3,Customer_5771,ShipToCustomer_616,Key_Account_208,Region_50,Country_13
Plant_570,Plant_Type_2,Vendor_327,MAT000718,Brand_6446,Sub_Brand_22,Product_Type_1423,Product_SubType_1423-2,Null,Customer_5534,ShipToCustomer_774,Key_Account_262,Region_13,Country_15
Plant_500,Plant_Type_2,Vendor_109,MAT001439,Brand_7644,Sub_Brand_82,Product_Type_206,Product_SubType_206-1,Null,Customer_272,ShipToCustomer_555,Key_Account_108,Region_14,Country_8
Plant_499,Plant_Type_2,Vendor_201,MAT000396,Brand_7481,Sub_Brand_32,Product_Type_1318,Product_SubType_1318-4,Null,Customer_5041,ShipToCustomer_296,Key_Account_314,Region_14,Country_8
Plant_433,Plant_Type_4,Vendor_520,MAT002399,Brand_388,Sub_Brand_84,Product_Type_1197,Product_SubType_1197-2,Null,Customer_7063,ShipToCustomer_643,Key_Account_285,Region_27,Country_11
Plant_252,Plant_Type_1,Vendor_368,MAT002443,Brand_7239,Sub_Brand_132,Product_Type_1138,Product_SubType_1138-1,Null,Customer_93,ShipToCustomer_645,Key_Account_162,Region_12,Country_10
Plant_655,Plant_Type_2,Vendor_460,MAT000120,Brand_7748,Sub_Brand_36,Product_Type_390,Product_SubType_390-1,Null,Customer_2155,ShipToCustomer_595,Key_Account_180,Region_21,Country_5
Plant_40,Plant_Type_4,Vendor_397,MAT001968,Brand_5524,Sub_Brand_131,Product_Type_325,Product_SubType_325-2,Null,Customer_6972,ShipToCustomer_761,Key_Account_7,Region_5,Country_14
Plant_224,Plant_Type_1,Vendor_850,MAT000857,Brand_4529,Sub_Brand_118,Product_Type_612,Product_SubType_612-3,Null,Customer_7164,ShipToCustomer_20,Key_Account_44,Region_40,Country_13
Plant_701,Plant_Type_2,Vendor_286,MAT002951,Brand_7379,Sub_Brand_135,Product_Type_408,Product_SubType_408-1,WindowQ2,Customer_3284,ShipToCustomer_972,Key_Account_105,Region_32,Country_3
Plant_772,Plant_Type_2,Vendor_583,MAT001223,Brand_4454,Sub_Brand_67,Product_Type_1032,Product_SubType_1032-3,WindowQ3,Customer_4789,ShipToCustomer_760,Key_Account_50,Region_31,Country_6
Plant_741,Plant_Type_3,Vendor_514,MAT001558,Brand_5024,Sub_Brand_74,Product_Type_667,Product_SubType_667-2,WindowQ1,Customer_6747,ShipToCustomer_23,Key_Account_92,WorldWide,Country_8
Plant_38,Plant_Type_3,Vendor_414,MAT000808,Brand_2014,Sub_Brand_74,Product_Type_1205,Product_SubType_1205-5,WindowQ3,Customer_5061,ShipToCustomer_425,Key_Account_377,Region_20,Country_2
Plant_305,Plant_Type_3,Vendor_637,MAT001309,Brand_6731,Sub_Brand_90,Product_Type_1247,Product_SubType_1247-3,WindowQ3,Customer_3697,ShipToCustomer_81,Key_Account_212,Region_30,Country_9
Plant_638,Plant_Type_1,Vendor_594,MAT001670,Brand_60,Sub_Brand_8,Product_Type_231,Product_SubType_231-4,WindowQ4,Customer_5798,ShipToCustomer_714,Key_Account_106,Region_33,Country_8
Plant_158,Plant_Type_1,Vendor_172,MAT001684,Brand_1321,Sub_Brand_125,Product_Type_318,Product_SubType_318-3,WindowQ3,Customer_2304,ShipToCustomer_607,Key_Account_130,Region_22,Country_7
Plant_651,Plant_Type_3,Vendor_256,MAT000889,Brand_1515,Sub_Brand_28,Product_Type_342,Product_SubType_342-3,Null,Customer_7578,ShipToCustomer_907,Key_Account_53,Region_40,Country_6
Plant_310,Plant_Type_1,Vendor_505,MAT000634,Brand_5341,Sub_Brand_83,Product_Type_1048,Product_SubType_1048-3,WindowQ1,Customer_7164,ShipToCustomer_20,Key_Account_44,Region_40,Country_13
Plant_552,Plant_Type_4,Vendor_794,MAT002167,Brand_2937,Sub_Brand_11,Product_Type_542,Product_SubType_542-3,WindowQ1,Customer_6789,ShipToCustomer_302,Key_Account_95,Region_19,Country_5
Plant_341,Plant_Type_3,Vendor_291,MAT000456,Brand_7339,Sub_Brand_140,Product_Type_184,Product_SubType_184-2,WindowQ2,Customer_6574,ShipToCustomer_905,Key_Account_108,Region_14,Country_6
Plant_733,Plant_Type_4,Vendor_148,MAT002020,Brand_2502,Sub_Brand_30,Product_Type_1374,Product_SubType_1374-4,Null,Customer_2078,ShipToCustomer_927,Key_Account_18,Region_10,Country_9
Plant_556,Plant_Type_4,Vendor_115,MAT001888,Brand_3164,Sub_Brand_61,Product_Type_1197,Product_SubType_1197-2,WindowQ3,Customer_6171,ShipToCustomer_793,Key_Account_338,Region_11,Country_7
Plant_576,Plant_Type_1,Vendor_940,MAT001138,Brand_2796,Sub_Brand_41,Product_Type_84,Product_SubType_84-2,Null,Customer_7583,ShipToCustomer_648,Key_Account_392,Region_48,Country_12
Plant_252,Plant_Type_1,Vendor_46,MAT001033,Brand_4383,Sub_Brand_87,Product_Type_1485,Product_SubType_1485-1,WindowQ2,Customer_2352,ShipToCustomer_864,Key_Account_102,Region_48,Country_5
Plant_579,Plant_Type_3,Vendor_280,MAT001976,Brand_6950,Sub_Brand_91,Product_Type_147,Product_SubType_147-1,WindowQ2,Customer_5659,ShipToCustomer_558,Key_Account_159,Region_45,Country_15
Plant_464,Plant_Type_2,Vendor_276,MAT001343,Brand_3276,Sub_Brand_43,Product_Type_717,Product_SubType_717-3,Null,Customer_3648,ShipToCustomer_26,Key_Account_255,Region_33,Country_8
Plant_603,Plant_Type_3,Vendor_777,MAT002716,Brand_1242,Sub_Brand_61,Product_Type_773,Product_SubType_773-6,WindowQ2,Customer_2726,ShipToCustomer_786,Key_Account_370,Region_34,Country_7
Plant_87,Plant_Type_3,Vendor_5,MAT002345,Brand_2279,Sub_Brand_106,Product_Type_955,Product_SubType_955-3,WindowQ2,Customer_6111,ShipToCustomer_589,Key_Account_227,Region_37,Country_14
Plant_547,Plant_Type_3,Vendor_617,MAT001246,Brand_919,Sub_Brand_57,Product_Type_1348,Product_SubType_1348-5,Null,Customer_6855,ShipToCustomer_504,Key_Account_265,Region_22,Country_14
Plant_800,Plant_Type_4,Vendor_795,MAT000804,Brand_1384,Sub_Brand_142,Product_Type_965,Product_SubType_965-3,WindowQ2,Customer_3567,ShipToCustomer_687,Key_Account_94,Region_26,Country_7
Plant_419,Plant_Type_1,Vendor_752,MAT000557,Brand_398,Sub_Brand_53,Product_Type_1357,Product_SubType_1357-6,Null,Customer_6553,ShipToCustomer_490,Key_Account_217,Region_6,Country_12
Plant_773,Plant_Type_4,Vendor_711,MAT001441,Brand_7292,Sub_Brand_94,Product_Type_1147,Product_SubType_1147-2,Null,Customer_2950,ShipToCustomer_559,Key_Account_361,Region_4,Country_15
Plant_524,Plant_Type_4,Vendor_33,MAT001141,Brand_258,Sub_Brand_20,Product_Type_1036,Product_SubType_1036-2,Null,Customer_1469,ShipToCustomer_85,Key_Account_34,Special,Country_1
Plant_694,Plant_Type_4,Vendor_195,MAT002849,Brand_7496,Sub_Brand_42,Product_Type_875,Product_SubType_875-4,Null,Customer_1735,ShipToCustomer_484,Key_Account_132,Region_24,Country_4
Plant_324,Plant_Type_3,Vendor_95,MAT000531,Brand_4958,Sub_Brand_112,Product_Type_310,Product_SubType_310-3,WindowQ1,Customer_3100,ShipToCustomer_872,Key_Account_127,Region_16,Country_13
Plant_142,Plant_Type_4,Vendor_968,MAT001484,Brand_5087,Sub_Brand_81,Product_Type_604,Product_SubType_604-3,WindowQ2,Customer_3230,ShipToCustomer_45,Key_Account_357,Region_13,Country_9
Plant_68,Plant_Type_2,Vendor_28,MAT000988,Brand_2369,Sub_Brand_82,Product_Type_1412,Product_SubType_1412-3,WindowQ1,Customer_5559,ShipToCustomer_411,Key_Account_245,Region_17,Country_1
Plant_248,Plant_Type_4,Vendor_338,MAT001886,Brand_2398,Sub_Brand_140,Product_Type_1316,Product_SubType_1316-1,WindowQ1,Customer_1410,ShipToCustomer_715,Key_Account_287,Region_10,Country_5
Plant_291,Plant_Type_2,Vendor_189,MAT000176,Brand_3511,Sub_Brand_97,Product_Type_943,Product_SubType_943-3,WindowQ3,Customer_5497,ShipToCustomer_195,Key_Account_59,Region_42,Country_2
Plant_214,Plant_Type_3,Vendor_220,MAT002347,Brand_7366,Sub_Brand_142,Product_Type_735,Product_SubType_735-3,WindowQ3,Customer_5550,ShipToCustomer_103,Key_Account_98,Region_18,Country_5
