SoldTo,Country,Ship to Customer
Customer_1056,Country_8,ShipToCustomer_458
Customer_1056,Country_8,ShipToCustomer_8848
Customer_1057,Country_10,ShipToCustomer_6572
Customer_1058,Country_8,ShipToCustomer_1916
Customer_106,Country_3,ShipToCustomer_1768
Customer_1060,Country_1,ShipToCustomer_3834
Customer_1061,Country_3,ShipToCustomer_143
Customer_1061,Country_3,ShipToCustomer_4295
Customer_1063,Country_7,ShipToCustomer_208
Customer_1064,Country_3,ShipToCustomer_1361
Customer_1064,Country_3,ShipToCustomer_5501
Customer_1065,Country_12,ShipToCustomer_1049
Customer_1067,Country_1,ShipToCustomer_242
Customer_1068,Country_6,ShipToCustomer_1405
Customer_1068,Country_6,ShipToCustomer_8507
Customer_107,Country_5,ShipToCustomer_4811
Customer_107,Country_5,ShipToCustomer_8846
Customer_1071,Country_15,ShipToCustomer_4386
Customer_1071,Country_15,ShipToCustomer_5994
Customer_1074,Country_5,ShipToCustomer_1666
Customer_1074,Country_5,ShipToCustomer_2329
Customer_1075,Country_14,ShipToCustomer_1561
Customer_1077,Country_11,ShipToCustomer_7799
Customer_1078,Country_4,ShipToCustomer_9991
Customer_1079,Country_1,ShipToCustomer_210
Customer_1079,Country_1,ShipToCustomer_7460
Customer_108,Country_9,ShipToCustomer_4951
Customer_1081,Country_1,ShipToCustomer_6155
Customer_1081,Country_1,ShipToCustomer_9810
Customer_1082,Country_15,ShipToCustomer_1150
Customer_1083,Country_5,ShipToCustomer_5081
Customer_1083,Country_5,ShipToCustomer_6070
Customer_1083,Country_5,ShipToCustomer_7204
Customer_1083,Country_5,ShipToCustomer_8657
Customer_1083,Country_5,ShipToCustomer_8895
Customer_1084,Country_5,ShipToCustomer_2641
Customer_1084,Country_5,ShipToCustomer_3348
Customer_1084,Country_5,ShipToCustomer_4398
Customer_1085,Country_13,ShipToCustomer_5438
Customer_1087,Country_3,ShipToCustomer_6519
Customer_109,Country_10,ShipToCustomer_4781
Customer_109,Country_10,ShipToCustomer_8563
Customer_1091,Country_3,ShipToCustomer_7473
Customer_1091,Country_3,ShipToCustomer_8572
Customer_1093,Country_11,ShipToCustomer_5376
Customer_1093,Country_11,ShipToCustomer_5710
Customer_1093,Country_11,ShipToCustomer_7685
Customer_1096,Country_15,ShipToCustomer_1471
Customer_1096,Country_15,ShipToCustomer_9001
Customer_1097,Country_6,ShipToCustomer_7084
Customer_1098,Country_5,ShipToCustomer_6656
Customer_1098,Country_5,ShipToCustomer_7708
Customer_1099,Country_7,ShipToCustomer_6736
Customer_110,Country_15,ShipToCustomer_9985
Customer_1100,Country_6,ShipToCustomer_1186
Customer_1100,Country_6,ShipToCustomer_3309
Customer_1100,Country_6,ShipToCustomer_3519
Customer_1100,Country_6,ShipToCustomer_6263
Customer_1100,Country_6,ShipToCustomer_6561
Customer_1100,Country_6,ShipToCustomer_6662
Customer_1101,Country_1,ShipToCustomer_4622
Customer_1101,Country_1,ShipToCustomer_958
Customer_1102,Country_11,ShipToCustomer_3008
Customer_1103,Country_9,ShipToCustomer_4450
Customer_1103,Country_9,ShipToCustomer_4902
Customer_1104,Country_3,ShipToCustomer_4376
Customer_1105,Country_13,ShipToCustomer_1312
Customer_1105,Country_13,ShipToCustomer_7579
Customer_1106,Country_6,ShipToCustomer_169
Customer_1106,Country_6,ShipToCustomer_3148
Customer_1108,Country_8,ShipToCustomer_9239
Customer_111,Country_3,ShipToCustomer_3896
Customer_1110,Country_4,ShipToCustomer_3642
Customer_1112,Country_5,ShipToCustomer_7122
Customer_1113,Country_1,ShipToCustomer_4552
Customer_1113,Country_1,ShipToCustomer_600
Customer_1114,Country_2,ShipToCustomer_6480
Customer_1115,Country_9,ShipToCustomer_2048
Customer_1116,Country_6,ShipToCustomer_5263
Customer_1116,Country_6,ShipToCustomer_5402
Customer_1117,Country_15,ShipToCustomer_3427
Customer_1118,Country_3,ShipToCustomer_955
Customer_1120,Country_12,ShipToCustomer_638
Customer_1121,Country_13,ShipToCustomer_3101
Customer_1121,Country_13,ShipToCustomer_5212
Customer_1121,Country_13,ShipToCustomer_7802
Customer_1121,Country_13,ShipToCustomer_8617
Customer_1125,Country_6,ShipToCustomer_1794
Customer_1125,Country_6,ShipToCustomer_2880
Customer_113,Country_5,ShipToCustomer_9783
Customer_1131,Country_15,ShipToCustomer_2497
Customer_1132,Country_9,ShipToCustomer_2425
Customer_1132,Country_9,ShipToCustomer_4372
Customer_1132,Country_9,ShipToCustomer_5324
Customer_1133,Country_10,ShipToCustomer_3281
Customer_1134,Country_9,ShipToCustomer_5912
Customer_1136,Country_15,ShipToCustomer_1089
Customer_1136,Country_15,ShipToCustomer_3424
Customer_1136,Country_15,ShipToCustomer_3785
Customer_1136,Country_15,ShipToCustomer_7099
Customer_1136,Country_15,ShipToCustomer_7725
Customer_1138,Country_9,ShipToCustomer_5285
Customer_1139,Country_9,ShipToCustomer_2017
Customer_1139,Country_9,ShipToCustomer_8443
Customer_1139,Country_9,ShipToCustomer_9199
Customer_114,Country_13,ShipToCustomer_560
Customer_1140,Country_12,ShipToCustomer_6769
Customer_1141,Country_3,ShipToCustomer_2864
Customer_1142,Country_13,ShipToCustomer_3452
Customer_1142,Country_13,ShipToCustomer_52
Customer_1142,Country_13,ShipToCustomer_7640
Customer_1144,Country_1,ShipToCustomer_4374
Customer_1144,Country_1,ShipToCustomer_6947
Customer_1144,Country_1,ShipToCustomer_892
Customer_1144,Country_1,ShipToCustomer_9415
Customer_1145,Country_15,ShipToCustomer_1895
Customer_1145,Country_15,ShipToCustomer_3410
Customer_1146,Country_2,ShipToCustomer_135
Customer_1146,Country_2,ShipToCustomer_6164
Customer_1148,Country_8,ShipToCustomer_3667
Customer_1148,Country_8,ShipToCustomer_4780
Customer_1149,Country_2,ShipToCustomer_6428
Customer_115,Country_4,ShipToCustomer_3619
Customer_1150,Country_12,ShipToCustomer_4952
Customer_1151,Country_1,ShipToCustomer_1937
Customer_1151,Country_1,ShipToCustomer_3796
Customer_1151,Country_1,ShipToCustomer_833
Customer_1152,Country_8,ShipToCustomer_6468
Customer_1154,Country_10,ShipToCustomer_7884
Customer_1156,Country_1,ShipToCustomer_2449
Customer_1157,Country_9,ShipToCustomer_2122
Customer_1157,Country_9,ShipToCustomer_9008
Customer_1158,Country_14,ShipToCustomer_4521
Customer_1158,Country_14,ShipToCustomer_7312
Customer_116,Country_8,ShipToCustomer_6739
Customer_1160,Country_14,ShipToCustomer_5821
Customer_1160,Country_14,ShipToCustomer_8898
Customer_1161,Country_3,ShipToCustomer_8683
Customer_1161,Country_3,ShipToCustomer_9301
Customer_1162,Country_5,ShipToCustomer_3000
Customer_1162,Country_5,ShipToCustomer_5653
Customer_1162,Country_5,ShipToCustomer_6229
Customer_1164,Country_6,ShipToCustomer_234
Customer_1164,Country_6,ShipToCustomer_5730
Customer_1164,Country_6,ShipToCustomer_6273
Customer_1165,Country_8,ShipToCustomer_6024
Customer_1166,Country_8,ShipToCustomer_3529
Customer_1166,Country_8,ShipToCustomer_582
Customer_1167,Country_8,ShipToCustomer_890
Customer_1168,Country_6,ShipToCustomer_1533
Customer_1169,Country_1,ShipToCustomer_3134
Customer_117,Country_3,ShipToCustomer_1167
Customer_117,Country_3,ShipToCustomer_1316
Customer_117,Country_3,ShipToCustomer_2974
Customer_1170,Country_14,ShipToCustomer_6107
Customer_1171,Country_15,ShipToCustomer_4402
Customer_1174,Country_9,ShipToCustomer_3491
Customer_1174,Country_9,ShipToCustomer_9859
Customer_1176,Country_8,ShipToCustomer_3523
Customer_1177,Country_2,ShipToCustomer_3015
Customer_1179,Country_4,ShipToCustomer_4884
Customer_1179,Country_4,ShipToCustomer_6583
Customer_1180,Country_3,ShipToCustomer_1778
Customer_1180,Country_3,ShipToCustomer_7612
Customer_1181,Country_4,ShipToCustomer_5858
Customer_1182,Country_12,ShipToCustomer_164
Customer_1182,Country_12,ShipToCustomer_3702
Customer_1183,Country_7,ShipToCustomer_2473
Customer_1183,Country_7,ShipToCustomer_8736
Customer_1184,Country_3,ShipToCustomer_895
Customer_1185,Country_9,ShipToCustomer_9310
Customer_1186,Country_8,ShipToCustomer_5183
Customer_1189,Country_12,ShipToCustomer_2599
Customer_1189,Country_12,ShipToCustomer_7478
Customer_119,Country_8,ShipToCustomer_9667
Customer_1191,Country_3,ShipToCustomer_695
Customer_1191,Country_3,ShipToCustomer_9392
Customer_1194,Country_13,ShipToCustomer_246
Customer_1196,Country_7,ShipToCustomer_3085
Customer_1197,Country_7,ShipToCustomer_1353
Customer_1197,Country_7,ShipToCustomer_5405
Customer_1197,Country_7,ShipToCustomer_7349
Customer_1198,Country_4,ShipToCustomer_4485
Customer_1198,Country_4,ShipToCustomer_5642
Customer_1198,Country_4,ShipToCustomer_692
Customer_1199,Country_11,ShipToCustomer_5741
Customer_1199,Country_11,ShipToCustomer_6713
Customer_12,Country_9,ShipToCustomer_5453
Customer_1200,Country_1,ShipToCustomer_3802
Customer_1200,Country_1,ShipToCustomer_792
Customer_1201,Country_3,ShipToCustomer_3433
Customer_1201,Country_3,ShipToCustomer_4739
Customer_1201,Country_3,ShipToCustomer_9155
Customer_1202,Country_12,ShipToCustomer_7105
Customer_1203,Country_11,ShipToCustomer_4286
Customer_1205,Country_7,ShipToCustomer_7739
Customer_1207,Country_15,ShipToCustomer_4110
Customer_1207,Country_15,ShipToCustomer_4828
Customer_1208,Country_10,ShipToCustomer_4998
Customer_1208,Country_10,ShipToCustomer_9478
Customer_1209,Country_9,ShipToCustomer_2746
Customer_1209,Country_9,ShipToCustomer_973
Customer_1210,Country_6,ShipToCustomer_5755
Customer_1210,Country_6,ShipToCustomer_7857
Customer_1211,Country_11,ShipToCustomer_6531
Customer_1212,Country_13,ShipToCustomer_2277
Customer_1212,Country_13,ShipToCustomer_3044
Customer_1213,Country_10,ShipToCustomer_6529
Customer_1214,Country_8,ShipToCustomer_1147
Customer_1214,Country_8,ShipToCustomer_1484
Customer_1214,Country_8,ShipToCustomer_4827
Customer_1214,Country_8,ShipToCustomer_5856
Customer_1214,Country_8,ShipToCustomer_6589
Customer_1214,Country_8,ShipToCustomer_7958
Customer_1215,Country_15,ShipToCustomer_8699
Customer_1216,Country_12,ShipToCustomer_5694
Customer_1216,Country_12,ShipToCustomer_5714
Customer_1216,Country_12,ShipToCustomer_8758
Customer_1217,Country_12,ShipToCustomer_9801
Customer_1218,Country_3,ShipToCustomer_1779
Customer_1218,Country_3,ShipToCustomer_8668
Customer_1219,Country_2,ShipToCustomer_1705
Customer_1219,Country_2,ShipToCustomer_1931
Customer_1219,Country_2,ShipToCustomer_3608
Customer_122,Country_8,ShipToCustomer_6525
Customer_1220,Country_8,ShipToCustomer_3645
Customer_1220,Country_8,ShipToCustomer_5654
Customer_1222,Country_14,ShipToCustomer_1727
Customer_1222,Country_14,ShipToCustomer_2042
Customer_1222,Country_14,ShipToCustomer_4117
Customer_1222,Country_14,ShipToCustomer_6140
Customer_1223,Country_3,ShipToCustomer_2104
Customer_1223,Country_3,ShipToCustomer_2774
Customer_1223,Country_3,ShipToCustomer_855
Customer_1224,Country_1,ShipToCustomer_7208
Customer_1225,Country_8,ShipToCustomer_1884
Customer_1225,Country_8,ShipToCustomer_4459
Customer_1227,Country_5,ShipToCustomer_531
Customer_1227,Country_5,ShipToCustomer_6977
Customer_1228,Country_13,ShipToCustomer_2968
Customer_1228,Country_13,ShipToCustomer_3141
Customer_123,Country_6,ShipToCustomer_398
Customer_1230,Country_9,ShipToCustomer_4439
Customer_1230,Country_9,ShipToCustomer_5497
Customer_1230,Country_9,ShipToCustomer_6704
Customer_1231,Country_6,ShipToCustomer_1885
Customer_1231,Country_6,ShipToCustomer_8249
Customer_1234,Country_2,ShipToCustomer_4764
Customer_1237,Country_8,ShipToCustomer_6228
Customer_1238,Country_2,ShipToCustomer_5379
Customer_1239,Country_4,ShipToCustomer_3204
Customer_1239,Country_4,ShipToCustomer_449
Customer_124,Country_13,ShipToCustomer_4941
Customer_124,Country_13,ShipToCustomer_8463
Customer_124,Country_13,ShipToCustomer_9132
Customer_1240,Country_3,ShipToCustomer_7414
Customer_1241,Country_4,ShipToCustomer_9817
Customer_1242,Country_9,ShipToCustomer_5136
Customer_1242,Country_9,ShipToCustomer_563
Customer_1244,Country_4,ShipToCustomer_6272
Customer_1245,Country_4,ShipToCustomer_1377
Customer_125,Country_3,ShipToCustomer_7542
Customer_1250,Country_13,ShipToCustomer_4430
Customer_1250,Country_13,ShipToCustomer_7923
Customer_1250,Country_13,ShipToCustomer_8421
Customer_1252,Country_15,ShipToCustomer_2875
Customer_1252,Country_15,ShipToCustomer_7079
Customer_1255,Country_3,ShipToCustomer_9290
Customer_1256,Country_12,ShipToCustomer_5543
Customer_1256,Country_12,ShipToCustomer_5613
Customer_1256,Country_12,ShipToCustomer_8664
Customer_1257,Country_12,ShipToCustomer_2281
Customer_1257,Country_12,ShipToCustomer_6784
Customer_126,Country_13,ShipToCustomer_271
Customer_126,Country_13,ShipToCustomer_4254
Customer_1260,Country_5,ShipToCustomer_5733
Customer_1260,Country_5,ShipToCustomer_7747
Customer_1262,Country_9,ShipToCustomer_7398
Customer_1263,Country_5,ShipToCustomer_6688
Customer_1263,Country_5,ShipToCustomer_702
Customer_1263,Country_5,ShipToCustomer_9839
Customer_1264,Country_5,ShipToCustomer_336
Customer_1264,Country_5,ShipToCustomer_7573
Customer_1265,Country_8,ShipToCustomer_9342
Customer_1266,Country_6,ShipToCustomer_4527
Customer_1268,Country_8,ShipToCustomer_2652
Customer_1268,Country_8,ShipToCustomer_898
Customer_1269,Country_4,ShipToCustomer_1292
Customer_1269,Country_4,ShipToCustomer_3674
Customer_1269,Country_4,ShipToCustomer_4143
Customer_1269,Country_4,ShipToCustomer_8419
Customer_127,Country_15,ShipToCustomer_1092
Customer_127,Country_15,ShipToCustomer_3126
Customer_127,Country_15,ShipToCustomer_5565
Customer_127,Country_15,ShipToCustomer_7608
Customer_1270,Country_13,ShipToCustomer_9500
Customer_1271,Country_12,ShipToCustomer_7074
Customer_1271,Country_12,ShipToCustomer_8722
Customer_1272,Country_4,ShipToCustomer_2371
Customer_1272,Country_4,ShipToCustomer_2634
Customer_1272,Country_4,ShipToCustomer_6510
Customer_1274,Country_15,ShipToCustomer_1940
Customer_1274,Country_15,ShipToCustomer_693
Customer_1274,Country_15,ShipToCustomer_9107
Customer_1276,Country_1,ShipToCustomer_5384
Customer_1277,Country_8,ShipToCustomer_7906
Customer_1278,Country_13,ShipToCustomer_3333
Customer_1279,Country_9,ShipToCustomer_9359
Customer_128,Country_4,ShipToCustomer_1090
Customer_128,Country_4,ShipToCustomer_6628
Customer_128,Country_4,ShipToCustomer_8509
Customer_1281,Country_7,ShipToCustomer_7119
Customer_1281,Country_7,ShipToCustomer_8222
Customer_1282,Country_12,ShipToCustomer_7871
Customer_1283,Country_3,ShipToCustomer_989
Customer_1284,Country_14,ShipToCustomer_2768
Customer_1284,Country_14,ShipToCustomer_3998
Customer_1287,Country_2,ShipToCustomer_1615
Customer_1287,Country_2,ShipToCustomer_5041
Customer_1287,Country_2,ShipToCustomer_7932
Customer_1287,Country_2,ShipToCustomer_7984
Customer_1288,Country_14,ShipToCustomer_3404
Customer_1288,Country_14,ShipToCustomer_5325
Customer_1288,Country_14,ShipToCustomer_8739
Customer_1289,Country_3,ShipToCustomer_3901
Customer_1289,Country_3,ShipToCustomer_7117
Customer_1291,Country_6,ShipToCustomer_5451
Customer_1294,Country_3,ShipToCustomer_4665
Customer_1294,Country_3,ShipToCustomer_7974
Customer_1295,Country_3,ShipToCustomer_9665
Customer_1296,Country_6,ShipToCustomer_7613
Customer_1298,Country_2,ShipToCustomer_8177
Customer_1299,Country_8,ShipToCustomer_1307
Customer_1299,Country_8,ShipToCustomer_2830
Customer_1299,Country_8,ShipToCustomer_8510
Customer_1300,Country_2,ShipToCustomer_3195
Customer_1300,Country_2,ShipToCustomer_844
Customer_1304,Country_14,ShipToCustomer_1086
Customer_1304,Country_14,ShipToCustomer_4721
Customer_1304,Country_14,ShipToCustomer_7866
Customer_1305,Country_4,ShipToCustomer_1658
Customer_1306,Country_9,ShipToCustomer_3363
Customer_1306,Country_9,ShipToCustomer_5133
Customer_1307,Country_11,ShipToCustomer_9371
Customer_1308,Country_4,ShipToCustomer_1426
Customer_131,Country_11,ShipToCustomer_2855
Customer_131,Country_11,ShipToCustomer_5482
Customer_1310,Country_11,ShipToCustomer_1783
Customer_1311,Country_12,ShipToCustomer_1264
Customer_1311,Country_12,ShipToCustomer_6438
Customer_1311,Country_12,ShipToCustomer_8106
Customer_1312,Country_15,ShipToCustomer_1582
Customer_1312,Country_15,ShipToCustomer_3611
Customer_1312,Country_15,ShipToCustomer_6754
Customer_1313,Country_15,ShipToCustomer_149
Customer_1314,Country_2,ShipToCustomer_4747
Customer_1314,Country_2,ShipToCustomer_482
Customer_1315,Country_12,ShipToCustomer_8693
Customer_1316,Country_5,ShipToCustomer_7854
Customer_1317,Country_3,ShipToCustomer_8789
Customer_1318,Country_15,ShipToCustomer_1135
Customer_1320,Country_13,ShipToCustomer_413
Customer_1320,Country_13,ShipToCustomer_5895
Customer_1320,Country_13,ShipToCustomer_6176
Customer_1320,Country_13,ShipToCustomer_7113
Customer_1320,Country_13,ShipToCustomer_7668
Customer_1322,Country_7,ShipToCustomer_2266
Customer_1323,Country_5,ShipToCustomer_6797
Customer_1324,Country_10,ShipToCustomer_3313
Customer_1326,Country_13,ShipToCustomer_5381
Customer_1326,Country_13,ShipToCustomer_7363
Customer_1327,Country_4,ShipToCustomer_7666
Customer_1327,Country_4,ShipToCustomer_8016
Customer_1329,Country_7,ShipToCustomer_3453
Customer_133,Country_13,ShipToCustomer_9705
Customer_1330,Country_8,ShipToCustomer_2107
Customer_1330,Country_8,ShipToCustomer_5843
Customer_1330,Country_8,ShipToCustomer_9996
Customer_1332,Country_2,ShipToCustomer_4812
Customer_1333,Country_14,ShipToCustomer_3527
Customer_1333,Country_14,ShipToCustomer_9066
Customer_1334,Country_7,ShipToCustomer_547
Customer_1335,Country_3,ShipToCustomer_5867
Customer_1336,Country_10,ShipToCustomer_1756
Customer_1336,Country_10,ShipToCustomer_6840
Customer_1336,Country_10,ShipToCustomer_8126
Customer_1337,Country_4,ShipToCustomer_3244
Customer_1338,Country_6,ShipToCustomer_6824
Customer_1339,Country_7,ShipToCustomer_6487
Customer_1339,Country_7,ShipToCustomer_8762
Customer_134,Country_1,ShipToCustomer_5561
Customer_134,Country_1,ShipToCustomer_7191
Customer_1340,Country_4,ShipToCustomer_3594
Customer_1340,Country_4,ShipToCustomer_6424
Customer_1341,Country_10,ShipToCustomer_740
Customer_1342,Country_6,ShipToCustomer_7299
Customer_1343,Country_8,ShipToCustomer_5890
Customer_1343,Country_8,ShipToCustomer_926
Customer_1344,Country_4,ShipToCustomer_486
Customer_1346,Country_13,ShipToCustomer_4548
Customer_1347,Country_5,ShipToCustomer_1261
Customer_1347,Country_5,ShipToCustomer_5563
Customer_1348,Country_3,ShipToCustomer_1199
Customer_135,Country_4,ShipToCustomer_3799
Customer_1350,Country_4,ShipToCustomer_2871
Customer_1351,Country_7,ShipToCustomer_1395
Customer_1352,Country_6,ShipToCustomer_3614
Customer_1352,Country_6,ShipToCustomer_8047
Customer_1354,Country_5,ShipToCustomer_2325
Customer_1355,Country_9,ShipToCustomer_8437
Customer_1357,Country_12,ShipToCustomer_3401
Customer_1357,Country_12,ShipToCustomer_6280
Customer_1357,Country_12,ShipToCustomer_6562
Customer_1357,Country_12,ShipToCustomer_7463
Customer_1357,Country_12,ShipToCustomer_9910
Customer_1358,Country_11,ShipToCustomer_3990
Customer_1359,Country_8,ShipToCustomer_7795
Customer_1361,Country_1,ShipToCustomer_5203
Customer_1362,Country_5,ShipToCustomer_9501
Customer_1365,Country_10,ShipToCustomer_4602
Customer_1365,Country_10,ShipToCustomer_867
Customer_1367,Country_10,ShipToCustomer_9427
Customer_1369,Country_3,ShipToCustomer_9202
Customer_137,Country_11,ShipToCustomer_2593
Customer_1371,Country_3,ShipToCustomer_546
Customer_1372,Country_1,ShipToCustomer_6991
Customer_1373,Country_8,ShipToCustomer_2415
Customer_1373,Country_8,ShipToCustomer_7209
Customer_1376,Country_1,ShipToCustomer_6357
Customer_1377,Country_6,ShipToCustomer_3646
Customer_1378,Country_12,ShipToCustomer_9975
Customer_138,Country_13,ShipToCustomer_7053
Customer_138,Country_13,ShipToCustomer_8560
Customer_138,Country_13,ShipToCustomer_9652
Customer_1380,Country_2,ShipToCustomer_2689
Customer_1380,Country_2,ShipToCustomer_8050
Customer_1380,Country_2,ShipToCustomer_9730
Customer_1381,Country_6,ShipToCustomer_671
Customer_1382,Country_6,ShipToCustomer_5160
Customer_1384,Country_5,ShipToCustomer_4027
Customer_1384,Country_5,ShipToCustomer_6312
Customer_1384,Country_5,ShipToCustomer_8602
Customer_1384,Country_5,ShipToCustomer_9731
Customer_1385,Country_13,ShipToCustomer_100
Customer_1385,Country_13,ShipToCustomer_841
Customer_1385,Country_13,ShipToCustomer_9916
Customer_1387,Country_6,ShipToCustomer_7264
Customer_1387,Country_6,ShipToCustomer_8286
Customer_1388,Country_9,ShipToCustomer_4740
Customer_1389,Country_11,ShipToCustomer_5578
Customer_139,Country_13,ShipToCustomer_9079
Customer_1390,Country_6,ShipToCustomer_3617
Customer_1391,Country_4,ShipToCustomer_9070
Customer_1393,Country_1,ShipToCustomer_6756
Customer_1396,Country_11,ShipToCustomer_128
Customer_1398,Country_1,ShipToCustomer_1302
Customer_1399,Country_3,ShipToCustomer_381
Customer_1399,Country_3,ShipToCustomer_8980
Customer_1399,Country_3,ShipToCustomer_9449
Customer_14,Country_2,ShipToCustomer_3104
Customer_14,Country_2,ShipToCustomer_7442
Customer_140,Country_15,ShipToCustomer_369
Customer_1400,Country_6,ShipToCustomer_931
Customer_1400,Country_6,ShipToCustomer_9348
Customer_1402,Country_12,ShipToCustomer_6675
Customer_1403,Country_8,ShipToCustomer_826
Customer_1404,Country_1,ShipToCustomer_9518
Customer_1406,Country_8,ShipToCustomer_2505
Customer_1406,Country_8,ShipToCustomer_7898
Customer_1406,Country_8,ShipToCustomer_8159
Customer_1408,Country_15,ShipToCustomer_5031
Customer_1409,Country_1,ShipToCustomer_4322
Customer_141,Country_10,ShipToCustomer_4
Customer_1410,Country_5,ShipToCustomer_715
Customer_1410,Country_5,ShipToCustomer_9223
Customer_1412,Country_3,ShipToCustomer_2079
Customer_1413,Country_10,ShipToCustomer_8341
Customer_1415,Country_11,ShipToCustomer_588
Customer_1415,Country_11,ShipToCustomer_6877
Customer_1416,Country_15,ShipToCustomer_4538
Customer_1416,Country_15,ShipToCustomer_9394
Customer_1417,Country_4,ShipToCustomer_7563
Customer_1418,Country_7,ShipToCustomer_6232
Customer_1421,Country_7,ShipToCustomer_7203
Customer_1422,Country_13,ShipToCustomer_3885
Customer_1422,Country_13,ShipToCustomer_4648
Customer_1422,Country_13,ShipToCustomer_757
Customer_1422,Country_13,ShipToCustomer_7574
Customer_1424,Country_7,ShipToCustomer_9425
Customer_1424,Country_7,ShipToCustomer_9972
Customer_1425,Country_3,ShipToCustomer_7530
Customer_1426,Country_9,ShipToCustomer_2539
Customer_1426,Country_9,ShipToCustomer_7981
Customer_1427,Country_15,ShipToCustomer_6023
Customer_1427,Country_15,ShipToCustomer_6932
Customer_1430,Country_13,ShipToCustomer_4903
Customer_1430,Country_13,ShipToCustomer_8376
Customer_1430,Country_13,ShipToCustomer_8453
Customer_1431,Country_13,ShipToCustomer_6887
Customer_1435,Country_12,ShipToCustomer_7557
Customer_1436,Country_2,ShipToCustomer_5240
Customer_1437,Country_15,ShipToCustomer_5846
Customer_1438,Country_3,ShipToCustomer_4007
Customer_1439,Country_11,ShipToCustomer_5336
Customer_144,Country_12,ShipToCustomer_8294
