MATERIAL,Sourcing_Plant,Sourcing_Vendor
MAT000216,Plant_205,Vendor_658
MAT000217,Plant_773,Vendor_140
MAT000218,Plant_776,Vendor_516
MAT000219,Plant_594,Vendor_166
MAT000220,Plant_104,Vendor_888
MAT000221,Plant_753,Vendor_425
MAT000222,Plant_309,Vendor_652
MAT000223,Plant_12,Vendor_480
MAT000224,Plant_446,Vendor_772
MAT000225,Plant_770,Vendor_415
MAT000226,Plant_246,Vendor_263
MAT000227,Plant_603,Vendor_93
MAT000228,Plant_25,Vendor_47
MAT000229,Plant_728,Vendor_492
MAT000230,Plant_791,Vendor_462
MAT000231,Plant_525,Vendor_656
MAT000232,Plant_729,Vendor_727
MAT000233,Plant_778,Vendor_816
MAT000234,Plant_712,Vendor_923
MAT000235,Plant_176,Vendor_957
MAT000236,Plant_601,Vendor_170
MAT000237,Plant_11,Vendor_962
MAT000238,Plant_571,Vendor_836
MAT000239,Plant_255,Vendor_330
MAT000240,Plant_220,Vendor_315
MAT000241,Plant_745,Vendor_237
MAT000242,Plant_221,Vendor_213
MAT000243,Plant_546,Vendor_112
MAT000244,Plant_680,Vendor_271
MAT000245,Plant_662,Vendor_456
MAT000246,Plant_465,Vendor_727
MAT000247,Plant_624,Vendor_551
MAT000248,Plant_643,Vendor_563
MAT000249,Plant_420,Vendor_462
MAT000250,Plant_639,Vendor_19
MAT000251,Plant_598,Vendor_783
MAT000252,Plant_499,Vendor_183
MAT000253,Plant_739,Vendor_962
MAT000254,Plant_457,Vendor_780
MAT000255,Plant_706,Vendor_938
MAT000256,Plant_573,Vendor_91
MAT000257,Plant_220,Vendor_533
MAT000258,Plant_539,Vendor_941
MAT000259,Plant_489,Vendor_950
MAT000260,Plant_111,Vendor_629
MAT000261,Plant_23,Vendor_719
MAT000262,Plant_412,Vendor_253
MAT000263,Plant_479,Vendor_827
MAT000264,Plant_537,Vendor_807
MAT000265,Plant_539,Vendor_452
MAT000266,Plant_690,Vendor_975
MAT000267,Plant_728,Vendor_482
MAT000268,Plant_773,Vendor_615
MAT000269,Plant_115,Vendor_202
MAT000270,Plant_185,Vendor_485
MAT000271,Plant_481,Vendor_87
MAT000272,Plant_455,Vendor_292
MAT000273,Plant_783,Vendor_648
MAT000274,Plant_89,Vendor_844
MAT000275,Plant_499,Vendor_68
MAT000276,Plant_678,Vendor_596
MAT000277,Plant_95,Vendor_662
MAT000278,Plant_193,Vendor_996
MAT000279,Plant_207,Vendor_258
MAT000280,Plant_157,Vendor_779
MAT000281,Plant_83,Vendor_163
MAT000282,Plant_480,Vendor_253
MAT000283,Plant_687,Vendor_339
MAT000284,Plant_280,Vendor_42
MAT000285,Plant_235,Vendor_664
MAT000286,Plant_12,Vendor_14
MAT000287,Plant_78,Vendor_528
MAT000288,Plant_321,Vendor_860
MAT000289,Plant_677,Vendor_497
MAT000290,Plant_558,Vendor_358
MAT000291,Plant_637,Vendor_429
MAT000292,Plant_288,Vendor_337
MAT000293,Plant_648,Vendor_72
MAT000294,Plant_689,Vendor_771
MAT000295,Plant_461,Vendor_432
MAT000296,Plant_149,Vendor_331
MAT000297,Plant_715,Vendor_319
MAT000298,Plant_495,Vendor_603
MAT000299,Plant_506,Vendor_240
MAT000300,Plant_195,Vendor_810
MAT000301,Plant_692,Vendor_797
MAT000302,Plant_444,Vendor_658
MAT000303,Plant_364,Vendor_104
MAT000304,Plant_341,Vendor_199
MAT000305,Plant_147,Vendor_633
MAT000306,Plant_588,Vendor_366
MAT000307,Plant_132,Vendor_738
MAT000308,Plant_150,Vendor_984
MAT000309,Plant_433,Vendor_949
MAT000310,Plant_2,Vendor_513
MAT000311,Plant_84,Vendor_116
MAT000312,Plant_789,Vendor_72
MAT000313,Plant_759,Vendor_10
MAT000314,Plant_244,Vendor_70
MAT000315,Plant_602,Vendor_932
MAT000316,Plant_213,Vendor_739
MAT000317,Plant_762,Vendor_111
MAT000318,Plant_678,Vendor_866
MAT000319,Plant_718,Vendor_905
MAT000320,Plant_746,Vendor_864
MAT000321,Plant_298,Vendor_613
MAT000322,Plant_305,Vendor_725
MAT000323,Plant_42,Vendor_695
MAT000324,Plant_345,Vendor_878
MAT000325,Plant_465,Vendor_585
MAT000326,Plant_36,Vendor_742
MAT000327,Plant_553,Vendor_111
MAT000328,Plant_6,Vendor_805
MAT000329,Plant_536,Vendor_183
MAT000330,Plant_539,Vendor_876
MAT000331,Plant_250,Vendor_83
MAT000332,Plant_171,Vendor_391
MAT000333,Plant_382,Vendor_357
MAT000334,Plant_162,Vendor_95
MAT000335,Plant_601,Vendor_699
MAT000336,Plant_661,Vendor_979
MAT000337,Plant_407,Vendor_42
MAT000338,Plant_738,Vendor_40
MAT000339,Plant_370,Vendor_730
MAT000340,Plant_462,Vendor_987
MAT000341,Plant_248,Vendor_486
MAT000342,Plant_7,Vendor_791
MAT000343,Plant_60,Vendor_120
MAT000344,Plant_315,Vendor_342
MAT000345,Plant_545,Vendor_904
MAT000346,Plant_363,Vendor_627
MAT000347,Plant_423,Vendor_795
MAT000348,Plant_78,Vendor_566
MAT000349,Plant_169,Vendor_649
MAT000350,Plant_600,Vendor_343
MAT000351,Plant_762,Vendor_108
MAT000352,Plant_94,Vendor_29
MAT000353,Plant_441,Vendor_915
MAT000354,Plant_772,Vendor_832
MAT000355,Plant_301,Vendor_350
MAT000356,Plant_32,Vendor_795
MAT000357,Plant_423,Vendor_948
MAT000358,Plant_680,Vendor_300
MAT000359,Plant_234,Vendor_661
MAT000360,Plant_40,Vendor_780
MAT000361,Plant_351,Vendor_197
MAT000362,Plant_708,Vendor_433
MAT000363,Plant_19,Vendor_18
MAT000364,Plant_292,Vendor_836
MAT000365,Plant_178,Vendor_871
MAT000366,Plant_169,Vendor_23
MAT000367,Plant_364,Vendor_547
MAT000368,Plant_523,Vendor_105
MAT000369,Plant_663,Vendor_328
MAT000370,Plant_305,Vendor_570
MAT000371,Plant_668,Vendor_274
MAT000372,Plant_496,Vendor_328
MAT000373,Plant_276,Vendor_509
MAT000374,Plant_562,Vendor_615
MAT000375,Plant_683,Vendor_767
MAT000376,Plant_135,Vendor_570
MAT000377,Plant_10,Vendor_877
MAT000378,Plant_396,Vendor_919
MAT000379,Plant_121,Vendor_782
MAT000380,Plant_497,Vendor_91
MAT000381,Plant_627,Vendor_986
MAT000382,Plant_383,Vendor_889
MAT000383,Plant_622,Vendor_86
MAT000384,Plant_427,Vendor_554
MAT000385,Plant_599,Vendor_554
MAT000386,Plant_10,Vendor_746
MAT000387,Plant_675,Vendor_884
MAT000388,Plant_485,Vendor_503
MAT000389,Plant_227,Vendor_978
MAT000390,Plant_624,Vendor_743
MAT000391,Plant_764,Vendor_624
MAT000392,Plant_353,Vendor_729
MAT000393,Plant_325,Vendor_458
MAT000394,Plant_495,Vendor_945
MAT000395,Plant_498,Vendor_143
MAT000396,Plant_499,Vendor_201
MAT000397,Plant_584,Vendor_841
MAT000398,Plant_281,Vendor_883
MAT000399,Plant_676,Vendor_499
MAT000400,Plant_368,Vendor_668
MAT000401,Plant_272,Vendor_328
MAT000402,Plant_564,Vendor_637
MAT000403,Plant_792,Vendor_138
MAT000404,Plant_678,Vendor_257
MAT000405,Plant_543,Vendor_244
MAT000406,Plant_204,Vendor_72
MAT000407,Plant_709,Vendor_506
MAT000408,Plant_344,Vendor_325
MAT000409,Plant_154,Vendor_205
MAT000410,Plant_196,Vendor_622
MAT000411,Plant_279,Vendor_960
MAT000412,Plant_97,Vendor_364
MAT000413,Plant_378,Vendor_207
MAT000414,Plant_247,Vendor_150
MAT000415,Plant_783,Vendor_682
MAT000416,Plant_497,Vendor_842
MAT000417,Plant_375,Vendor_588
MAT000418,Plant_467,Vendor_358
MAT000419,Plant_494,Vendor_651
MAT000420,Plant_368,Vendor_11
MAT000421,Plant_109,Vendor_837
MAT000422,Plant_568,Vendor_656
MAT000423,Plant_143,Vendor_416
MAT000424,Plant_530,Vendor_884
MAT000425,Plant_718,Vendor_285
MAT000426,Plant_47,Vendor_295
MAT000427,Plant_38,Vendor_874
MAT000428,Plant_799,Vendor_413
MAT000429,Plant_593,Vendor_867
MAT000430,Plant_621,Vendor_936
MAT000431,Plant_498,Vendor_975
MAT000432,Plant_659,Vendor_529
MAT000433,Plant_321,Vendor_388
MAT000434,Plant_530,Vendor_371
MAT000435,Plant_436,Vendor_808
MAT000436,Plant_245,Vendor_834
MAT000437,Plant_768,Vendor_210
MAT000438,Plant_613,Vendor_702
MAT000439,Plant_166,Vendor_166
MAT000440,Plant_692,Vendor_714
MAT000441,Plant_106,Vendor_227
MAT000442,Plant_403,Vendor_803
MAT000443,Plant_247,Vendor_820
MAT000444,Plant_660,Vendor_694
MAT000445,Plant_48,Vendor_181
MAT000446,Plant_196,Vendor_849
MAT000447,Plant_114,Vendor_779
MAT000448,Plant_526,Vendor_455
MAT000449,Plant_144,Vendor_371
MAT000450,Plant_389,Vendor_517
MAT000451,Plant_249,Vendor_440
MAT000452,Plant_421,Vendor_15
MAT000453,Plant_636,Vendor_977
MAT000454,Plant_461,Vendor_500
MAT000455,Plant_307,Vendor_555
MAT000456,Plant_341,Vendor_291
MAT000457,Plant_13,Vendor_631
MAT000458,Plant_580,Vendor_821
MAT000459,Plant_697,Vendor_375
MAT000460,Plant_267,Vendor_999
MAT000461,Plant_785,Vendor_104
MAT000462,Plant_109,Vendor_870
MAT000463,Plant_53,Vendor_581
MAT000464,Plant_181,Vendor_722
MAT000465,Plant_386,Vendor_68
MAT000466,Plant_763,Vendor_619
MAT000467,Plant_221,Vendor_333
MAT000468,Plant_24,Vendor_56
MAT000469,Plant_711,Vendor_453
MAT000470,Plant_776,Vendor_932
MAT000471,Plant_371,Vendor_341
MAT000472,Plant_22,Vendor_423
MAT000473,Plant_168,Vendor_488
MAT000474,Plant_630,Vendor_292
MAT000475,Plant_477,Vendor_700
MAT000476,Plant_410,Vendor_771
MAT000477,Plant_212,Vendor_101
MAT000478,Plant_115,Vendor_860
MAT000479,Plant_587,Vendor_18
MAT000480,Plant_36,Vendor_901
MAT000481,Plant_174,Vendor_230
MAT000482,Plant_438,Vendor_436
MAT000483,Plant_213,Vendor_759
MAT000484,Plant_712,Vendor_371
MAT000485,Plant_159,Vendor_827
MAT000486,Plant_39,Vendor_915
MAT000487,Plant_39,Vendor_259
MAT000488,Plant_733,Vendor_781
MAT000489,Plant_118,Vendor_865
MAT000490,Plant_540,Vendor_635
MAT000491,Plant_468,Vendor_548
MAT000492,Plant_186,Vendor_49
MAT000493,Plant_400,Vendor_343
MAT000494,Plant_397,Vendor_893
MAT000495,Plant_718,Vendor_904
MAT000496,Plant_574,Vendor_631
MAT000497,Plant_661,Vendor_683
MAT000498,Plant_390,Vendor_976
MAT000499,Plant_208,Vendor_233
MAT000500,Plant_2,Vendor_539
MAT000501,Plant_265,Vendor_626
MAT000502,Plant_296,Vendor_771
MAT000503,Plant_112,Vendor_194
MAT000504,Plant_567,Vendor_503
MAT000505,Plant_379,Vendor_388
MAT000506,Plant_618,Vendor_61
MAT000507,Plant_649,Vendor_524
MAT000508,Plant_207,Vendor_333
MAT000509,Plant_175,Vendor_255
MAT000510,Plant_246,Vendor_349
MAT000511,Plant_145,Vendor_942
MAT000512,Plant_48,Vendor_718
MAT000513,Plant_336,Vendor_829
MAT000514,Plant_671,Vendor_482
MAT000515,Plant_128,Vendor_388
MAT000516,Plant_619,Vendor_424
MAT000517,Plant_201,Vendor_662
MAT000518,Plant_202,Vendor_234
MAT000519,Plant_348,Vendor_53
MAT000520,Plant_576,Vendor_214
MAT000521,Plant_450,Vendor_948
MAT000522,Plant_160,Vendor_906
MAT000523,Plant_544,Vendor_203
MAT000524,Plant_382,Vendor_928
MAT000525,Plant_14,Vendor_804
MAT000526,Plant_55,Vendor_724
MAT000527,Plant_347,Vendor_102
MAT000528,Plant_174,Vendor_63
MAT000529,Plant_232,Vendor_351
MAT000530,Plant_148,Vendor_251
MAT000531,Plant_324,Vendor_95
MAT000532,Plant_247,Vendor_246
MAT000533,Plant_543,Vendor_842
MAT000534,Plant_79,Vendor_558
MAT000535,Plant_46,Vendor_673
MAT000536,Plant_525,Vendor_425
MAT000537,Plant_742,Vendor_811
MAT000538,Plant_541,Vendor_335
MAT000539,Plant_403,Vendor_578
MAT000540,Plant_19,Vendor_751
MAT000541,Plant_201,Vendor_435
MAT000542,Plant_331,Vendor_419
MAT000543,Plant_686,Vendor_688
MAT000544,Plant_160,Vendor_393
MAT000545,Plant_340,Vendor_54
MAT000546,Plant_314,Vendor_262
MAT000547,Plant_236,Vendor_432
MAT000548,Plant_256,Vendor_798
MAT000549,Plant_544,Vendor_180
MAT000550,Plant_535,Vendor_91
MAT000551,Plant_797,Vendor_743
MAT000552,Plant_244,Vendor_578
MAT000553,Plant_18,Vendor_55
MAT000554,Plant_709,Vendor_605
MAT000555,Plant_654,Vendor_660
MAT000556,Plant_150,Vendor_984
MAT000557,Plant_419,Vendor_752
MAT000558,Plant_110,Vendor_185
MAT000559,Plant_372,Vendor_331
MAT000560,Plant_496,Vendor_60
MAT000561,Plant_755,Vendor_44
MAT000562,Plant_593,Vendor_38
MAT000563,Plant_797,Vendor_918
MAT000564,Plant_219,Vendor_930
MAT000565,Plant_786,Vendor_201
MAT000566,Plant_193,Vendor_256
MAT000567,Plant_94,Vendor_802
MAT000568,Plant_470,Vendor_118
MAT000569,Plant_597,Vendor_263
MAT000570,Plant_26,Vendor_697
MAT000571,Plant_137,Vendor_355
MAT000572,Plant_285,Vendor_107
MAT000573,Plant_441,Vendor_582
MAT000574,Plant_233,Vendor_861
MAT000575,Plant_10,Vendor_293
MAT000576,Plant_56,Vendor_315
MAT000577,Plant_407,Vendor_695
MAT000578,Plant_239,Vendor_123
MAT000579,Plant_221,Vendor_7
MAT000580,Plant_434,Vendor_46
MAT000581,Plant_156,Vendor_18
MAT000582,Plant_1,Vendor_777
MAT000583,Plant_456,Vendor_3
MAT000584,Plant_121,Vendor_954
MAT000585,Plant_602,Vendor_808
MAT000586,Plant_63,Vendor_974
MAT000587,Plant_718,Vendor_597
MAT000588,Plant_532,Vendor_799
MAT000589,Plant_589,Vendor_775
MAT000590,Plant_579,Vendor_577
MAT000591,Plant_516,Vendor_322
MAT000592,Plant_609,Vendor_256
MAT000593,Plant_697,Vendor_244
MAT000594,Plant_530,Vendor_155
MAT000595,Plant_100,Vendor_645
MAT000596,Plant_407,Vendor_40
MAT000597,Plant_388,Vendor_829
MAT000598,Plant_433,Vendor_987
MAT000599,Plant_147,Vendor_834
MAT000600,Plant_614,Vendor_828
MAT000601,Plant_559,Vendor_293
MAT000602,Plant_669,Vendor_891
MAT000603,Plant_665,Vendor_552
MAT000604,Plant_217,Vendor_88
MAT000605,Plant_609,Vendor_417
MAT000606,Plant_15,Vendor_804
MAT000607,Plant_9,Vendor_485
MAT000608,Plant_323,Vendor_848
MAT000609,Plant_668,Vendor_515
MAT000610,Plant_712,Vendor_744
MAT000611,Plant_154,Vendor_931
MAT000612,Plant_579,Vendor_693
MAT000613,Plant_504,Vendor_414
MAT000614,Plant_19,Vendor_84
MAT000615,Plant_312,Vendor_693
MAT000616,Plant_708,Vendor_354
MAT000617,Plant_138,Vendor_2
MAT000618,Plant_159,Vendor_755
MAT000619,Plant_203,Vendor_274
MAT000620,Plant_420,Vendor_690
MAT000621,Plant_276,Vendor_395
MAT000622,Plant_751,Vendor_217
MAT000623,Plant_707,Vendor_912
MAT000624,Plant_87,Vendor_47
MAT000625,Plant_116,Vendor_905
MAT000626,Plant_628,Vendor_177
MAT000627,Plant_297,Vendor_550
MAT000628,Plant_186,Vendor_690
MAT000629,Plant_737,Vendor_362
MAT000630,Plant_689,Vendor_523
MAT000631,Plant_258,Vendor_821
MAT000632,Plant_591,Vendor_751
MAT000633,Plant_167,Vendor_393
MAT000634,Plant_310,Vendor_505
MAT000635,Plant_698,Vendor_458
MAT000636,Plant_287,Vendor_193
MAT000637,Plant_435,Vendor_823
MAT000638,Plant_257,Vendor_93
MAT000639,Plant_223,Vendor_537
MAT000640,Plant_708,Vendor_91
MAT000641,Plant_14,Vendor_150
MAT000642,Plant_773,Vendor_408
MAT000643,Plant_464,Vendor_871
MAT000644,Plant_478,Vendor_397
MAT000645,Plant_794,Vendor_474
MAT000646,Plant_300,Vendor_653
MAT000647,Plant_363,Vendor_836
MAT000648,Plant_449,Vendor_718
MAT000649,Plant_491,Vendor_256
MAT000650,Plant_45,Vendor_758
MAT000651,Plant_250,Vendor_900
MAT000652,Plant_316,Vendor_647
MAT000653,Plant_216,Vendor_316
MAT000654,Plant_261,Vendor_339
MAT000655,Plant_373,Vendor_557
MAT000656,Plant_306,Vendor_372
MAT000657,Plant_247,Vendor_865
MAT000658,Plant_402,Vendor_623
MAT000659,Plant_104,Vendor_562
MAT000660,Plant_9,Vendor_475
MAT000661,Plant_70,Vendor_789
MAT000662,Plant_586,Vendor_608
MAT000663,Plant_285,Vendor_577
MAT000664,Plant_609,Vendor_189
MAT000665,Plant_755,Vendor_966
MAT000666,Plant_48,Vendor_52
MAT000667,Plant_445,Vendor_127
MAT000668,Plant_797,Vendor_129
MAT000669,Plant_455,Vendor_23
MAT000670,Plant_627,Vendor_796
MAT000671,Plant_430,Vendor_958
MAT000672,Plant_689,Vendor_661
MAT000673,Plant_239,Vendor_434
MAT000674,Plant_23,Vendor_424
MAT000675,Plant_170,Vendor_361
MAT000676,Plant_547,Vendor_839
MAT000677,Plant_94,Vendor_600
MAT000678,Plant_74,Vendor_514
MAT000679,Plant_553,Vendor_21
MAT000680,Plant_283,Vendor_744
MAT000681,Plant_379,Vendor_832
MAT000682,Plant_390,Vendor_419
MAT000683,Plant_10,Vendor_261
MAT000684,Plant_514,Vendor_744
MAT000685,Plant_178,Vendor_207
MAT000686,Plant_115,Vendor_150
MAT000687,Plant_236,Vendor_129
MAT000688,Plant_21,Vendor_832
MAT000689,Plant_21,Vendor_736
MAT000690,Plant_30,Vendor_50
MAT000691,Plant_107,Vendor_730
MAT000692,Plant_308,Vendor_179
MAT000693,Plant_785,Vendor_388
MAT000694,Plant_791,Vendor_225
MAT000695,Plant_726,Vendor_164
MAT000696,Plant_564,Vendor_428
MAT000697,Plant_396,Vendor_799
MAT000698,Plant_518,Vendor_102
MAT000699,Plant_379,Vendor_996
MAT000700,Plant_120,Vendor_226
MAT000701,Plant_194,Vendor_169
MAT000702,Plant_194,Vendor_570
MAT000703,Plant_481,Vendor_834
MAT000704,Plant_746,Vendor_46
MAT000705,Plant_431,Vendor_104
MAT000706,Plant_753,Vendor_147
MAT000707,Plant_292,Vendor_979
MAT000708,Plant_154,Vendor_590
MAT000709,Plant_516,Vendor_517
MAT000710,Plant_361,Vendor_164
MAT000711,Plant_248,Vendor_347
MAT000712,Plant_652,Vendor_460
MAT000713,Plant_659,Vendor_437
MAT000714,Plant_568,Vendor_942
MAT000715,Plant_594,Vendor_855
MAT000716,Plant_625,Vendor_570
MAT000717,Plant_696,Vendor_460
MAT000718,Plant_570,Vendor_327
MAT000719,Plant_744,Vendor_261
MAT000720,Plant_17,Vendor_976
MAT000721,Plant_692,Vendor_787
MAT000722,Plant_631,Vendor_488
MAT000723,Plant_618,Vendor_455
MAT000724,Plant_284,Vendor_831
MAT000725,Plant_524,Vendor_616
MAT000726,Plant_483,Vendor_800
MAT000727,Plant_135,Vendor_140
MAT000728,Plant_111,Vendor_251
MAT000729,Plant_712,Vendor_396
MAT000730,Plant_546,Vendor_80
MAT000731,Plant_479,Vendor_516
MAT000732,Plant_292,Vendor_79
MAT000733,Plant_256,Vendor_468
