customer,sales_qty_2021,sales_qty_2022,sales_qty_2023,sales_qty_2024,net_sales_2021,net_sales_2022,net_sales_2023,net_sales_2024,p2_2021,p2_2022,p2_2023,p2_2024,qty_2021_score,qty_2022_score,qty_2023_score,qty_2024_score,sales_2021_score,sales_2022_score,sales_2023_score,sales_2024_score,p2_2021_score,p2_2022_score,p2_2023_score,p2_2024_score,qty_2021_score_desc,qty_2022_score_desc,qty_2023_score_desc,qty_2024_score_desc,sales_2021_score_desc,sales_2022_score_desc,sales_2023_score_desc,sales_2024_score_desc,p2_2021_score_desc,p2_2022_score_desc,p2_2023_score_desc,p2_2024_score_desc,material_portfolio,material_portfolio_desc,brand_portfolio,brand_portfolio_desc,product_type_portfolio,product_type_portfolio_desc,material_portfolio_score,brand_portfolio_score,product_type_portfolio_score,material_portfolio_score_desc,brand_portfolio_score_desc,product_type_portfolio_score_desc,feature_tag_null,feature_tag_q1,feature_tag_q2,feature_tag_q3,feature_tag_q4,feature_tag_null_score,feature_tag_q1_score,feature_tag_q2_score,feature_tag_q3_score,feature_tag_q4_score,relationship_score,market_position_score,market_position_desc_new,relationship_desc_new
Customer_1101,30939766,26598077,24579598,30401639,1852448410.77,1584531199.56,1346455233.97,1783751365.19,944917328.06,746396388.22,709960376.33,734796127.05,4,2,1,4,4.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,High,Low,Neglectable,High,High,Low,Neglectable,Medium,High,Low,Neglectable,Low,4,"MAT001640, MAT000133, MAT000190, MAT002229",4,"Brand_6012, Brand_5821, Brand_4874, Brand_6815",4,"Product_Type_787, Product_Type_932, Product_Type_56, Product_Type_1031",2,2,2,several,several,several,55,14,14,22,12,4,1,1,1,1,2.0,4.0,Innovative,Transactional
Customer_1106,32862766,32204150,34468784,27430200,2015772806.18,2125845142.92,2177104784.92,1782625319.11,893131327.38,960976264.03,943092931.77,886409670.04,4,4,5,2,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,High,High,Strategic,Low,High,Strategic,Strategic,Medium,Medium,High,High,Medium,4,"MAT002785, MAT000157, MAT000911, MAT001155",4,"Brand_3515, Brand_7967, Brand_69, Brand_1300",4,"Product_Type_671, Product_Type_733, Product_Type_827, Product_Type_211",2,2,2,several,several,several,53,12,8,12,15,4,3,1,3,1,3.0,2.0,Market Follower,Pure Business
Customer_1113,31457360,34629412,29516361,38672929,1793643900.44,2192398390.48,1727508140.68,2265904491.82,966701166.97,1056049909.37,781615146.81,1118600765.49,4,5,3,5,3.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,High,Strategic,Medium,Strategic,Medium,Strategic,Medium,Strategic,High,Strategic,Low,Strategic,3,"MAT002438, MAT000077, MAT001904",3,"Brand_4359, Brand_7229, Brand_5062",3,"Product_Type_1192, Product_Type_496, Product_Type_1380",2,2,2,several,several,several,57,12,14,15,9,4,3,1,1,1,3.0,2.0,Market Follower,Pure Business
Customer_1118,27779640,28801646,31399660,31526123,1726772062.31,1796075410.58,2008511479.94,1975878042.85,1101464678.99,972992429.13,994487834.94,1170257101.44,2,3,4,4,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,Low,Medium,High,High,Medium,Medium,High,High,Strategic,High,High,Strategic,4,"MAT002466, MAT000148, MAT000518, MAT000031",4,"Brand_3593, Brand_5121, Brand_5953, Brand_5603",4,"Product_Type_787, Product_Type_268, Product_Type_1061, Product_Type_1433",2,2,2,several,several,several,54,9,12,16,16,4,1,1,1,1,4.0,4.0,Innovative,Advanced Business Ties
Customer_1120,25140249,27264143,27229812,27356153,1551993549.36,1691385847.51,1422557616.42,1800198580.61,743608330.89,838810844.86,761570995.6,952414622.32,1,2,2,2,2.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,Neglectable,Low,Low,Low,Low,Medium,Neglectable,High,Low,Medium,Low,High,3,"MAT002468, MAT000947, MAT002583",3,"Brand_7485, Brand_6677, Brand_1757",3,"Product_Type_322, Product_Type_159, Product_Type_559",2,2,2,several,several,several,44,6,13,13,10,2,1,1,3,2,5.0,5.0,Innovative & Faster Growing than Market,Partnership
Customer_114,28150178,27838298,32081630,31252418,2001776937.62,1667989315.06,1827073715.51,2071777806.38,953235754.87,957483580.06,890586776.12,915138218.95,3,3,4,4,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,Medium,Medium,High,High,High,Medium,High,Strategic,High,High,Medium,Medium,4,"MAT002384, MAT001655, MAT000799, MAT000222",4,"Brand_6784, Brand_609, Brand_4969, Brand_2386",4,"Product_Type_677, Product_Type_98, Product_Type_808, Product_Type_799",2,2,2,several,several,several,56,9,9,8,13,4,1,1,1,1,3.0,2.0,Market Follower,Pure Business
Customer_1142,23649827,26314445,25503153,27551051,1617353991.09,1691367298.88,1327629687.49,1732729037.86,780168558.85,906988654.46,721515603.75,853349948.5,1,2,2,3,2.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,Neglectable,Low,Low,Medium,Low,Medium,Neglectable,Medium,Low,Medium,Neglectable,Medium,4,"MAT001127, MAT000714, MAT001006, MAT001976",4,"Brand_979, Brand_1966, Brand_1596, Brand_6950",4,"Product_Type_153, Product_Type_959, Product_Type_773, Product_Type_147",2,2,2,several,several,several,53,16,9,10,7,4,1,1,2,1,2.0,2.0,Market Follower,Transactional
Customer_1144,29430078,31808816,23422408,23295744,1664585750.83,2000715594.62,1364902135.27,1152372974.7,856644002.02,895882878.96,737215779.37,556134895.27,3,4,1,1,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,Medium,High,Neglectable,Neglectable,Medium,High,Neglectable,Neglectable,Medium,Medium,Low,Neglectable,4,"MAT002278, MAT002713, MAT002180, MAT001413",4,"Brand_7625, Brand_3690, Brand_839, Brand_4871",4,"Product_Type_499, Product_Type_120, Product_Type_675, Product_Type_248",2,2,2,several,several,several,55,11,12,10,12,4,2,1,2,1,2.0,1.0,Niche Player,Transactional
Customer_1146,26265905,24549019,31129522,31178836,1541137471.71,1444197698.41,1889796529.11,1891736144.23,711188399.74,692606912.08,915015357.49,1017015069.81,2,1,4,4,2.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,Low,Neglectable,High,High,Low,Neglectable,High,High,Neglectable,Neglectable,Medium,High,4,"MAT000650, MAT002635, MAT001938, MAT002339",4,"Brand_4623, Brand_7936, Brand_4860, Brand_4922",3,"Product_Type_1392, Product_Type_373, Product_Type_131",2,2,2,several,several,several,63,7,16,10,8,5,1,1,2,1,4.0,3.0,Faster Growing than Market,Advanced Business Ties
Customer_1151,22397461,25903954,17205131,23358598,1215625033.26,1405168125.09,948349564.94,1487833283.54,632282448.32,697265338.11,509990747.2,864660652.32,1,2,1,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,Neglectable,Low,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Low,Neglectable,Neglectable,Neglectable,Medium,3,"MAT001598, MAT001926, MAT000811",3,"Brand_5590, Brand_1947, Brand_4871",3,"Product_Type_587, Product_Type_253, Product_Type_1344",2,2,2,several,several,several,36,13,7,13,12,1,3,1,3,1,2.0,2.0,Market Follower,Transactional
Customer_1164,16824954,18796896,19925198,23866596,1017948713.91,1199903445.52,1036866901.92,1380633383.99,574702866.36,569669894.43,621899581.83,792440995.02,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Low,4,"MAT002762, MAT001045, MAT000422, MAT002240",4,"Brand_2594, Brand_2504, Brand_2258, Brand_6564",4,"Product_Type_73, Product_Type_179, Product_Type_33, Product_Type_1205",2,2,2,several,several,several,29,11,14,8,14,1,2,1,1,1,2.0,2.0,Market Follower,Transactional
Customer_1166,19912651,29797216,22734278,27333412,1116764690.98,1852520771.15,1328352703.59,1646214850.96,457675194.05,994460218.92,716251241.63,726432639.99,1,3,1,2,1.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,Neglectable,Medium,Neglectable,Low,Neglectable,High,Neglectable,Low,Neglectable,High,Neglectable,Low,4,"MAT001304, MAT002624, MAT000749, MAT002832",4,"Brand_5097, Brand_7714, Brand_6477, Brand_5129",4,"Product_Type_1271, Product_Type_1023, Product_Type_1109, Product_Type_1411",2,2,2,several,several,several,52,11,6,13,12,3,2,1,3,1,2.0,2.0,Market Follower,Transactional
Customer_1167,33620629,35136306,37942081,40242372,2154095016.48,2115521388.41,2186092628.17,2306905126.34,999430879.54,1230370972.33,1124024024.27,1065711562.17,5,5,5,5,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,High,Strategic,Strategic,Strategic,4,"MAT002469, MAT001963, MAT002930, MAT000681",4,"Brand_7894, Brand_6055, Brand_3717, Brand_937",4,"Product_Type_362, Product_Type_602, Product_Type_357, Product_Type_909",2,2,2,several,several,several,65,10,20,16,15,5,2,1,1,1,2.0,2.0,Market Follower,Transactional
Customer_1182,29202548,28109663,30277058,28706955,1867012131.8,1584156701.31,1781457411.73,1739535902.88,1077875110.58,673741517.68,977186690.92,922095940.27,3,3,4,3,4.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,Medium,Medium,High,Medium,High,Low,Medium,Medium,Strategic,Neglectable,High,High,4,"MAT002012, MAT001445, MAT002178, MAT001990",4,"Brand_4357, Brand_686, Brand_7088, Brand_5128",4,"Product_Type_890, Product_Type_1361, Product_Type_1164, Product_Type_52",2,2,2,several,several,several,51,16,15,9,15,3,1,1,1,1,3.0,3.0,Faster Growing than Market,Pure Business
Customer_1184,32042024,28843662,28718700,26395750,2006233066.52,2055441131.39,1755408080.15,1525356363.02,1065126470.12,829875728.5600001,850961861.91,823264471.23,4,3,3,2,4.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,High,Medium,Medium,Low,High,High,Medium,Low,Strategic,Medium,Medium,Medium,4,"MAT002244, MAT001747, MAT002082, MAT001752",4,"Brand_788, Brand_2727, Brand_5968, Brand_5770",4,"Product_Type_920, Product_Type_292, Product_Type_1132, Product_Type_1046",2,2,2,several,several,several,47,14,12,11,11,2,1,1,2,2,1.0,2.0,Market Follower,Opportunistic
Customer_1191,28227447,26613993,26137182,24613125,1894987458.78,1506074577.3,1651386040.32,1595021044.6,967894565.52,777651455.86,819385477.04,664787887.83,3,2,2,1,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,Medium,Low,Low,Neglectable,High,Low,Low,Low,High,Low,Low,Neglectable,4,"MAT000457, MAT000596, MAT000999, MAT001106",4,"Brand_5239, Brand_4634, Brand_599, Brand_3574",4,"Product_Type_1351, Product_Type_1496, Product_Type_702, Product_Type_424",2,2,2,several,several,several,51,14,13,10,11,3,1,1,2,2,4.0,3.0,Faster Growing than Market,Advanced Business Ties
Customer_1194,23040573,25613958,23926888,37914817,1224357885.75,1607880330.81,1323183705.69,2396349248.15,572500597.39,695265885.29,657032460.64,1133397371.92,1,2,1,5,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,Neglectable,Low,Neglectable,Strategic,Neglectable,Low,Neglectable,Strategic,Neglectable,Neglectable,Neglectable,Strategic,4,"MAT000053, MAT002505, MAT002502, MAT002364",4,"Brand_4761, Brand_507, Brand_161, Brand_3357",4,"Product_Type_492, Product_Type_675, Product_Type_1397, Product_Type_785",2,2,2,several,several,several,51,17,15,6,13,3,1,1,1,1,2.0,5.0,Innovative & Faster Growing than Market,Transactional
Customer_1198,27427181,33567833,33820756,29321019,1493200636.06,1735390227.78,1910444307.23,1951808132.23,667689427.65,742035546.86,988518231.75,1084090936.45,2,5,5,3,2.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,Low,Strategic,Strategic,Medium,Low,Medium,High,High,Neglectable,Low,High,Strategic,4,"MAT000566, MAT002180, MAT002633, MAT000232",4,"Brand_6834, Brand_839, Brand_94, Brand_5014",4,"Product_Type_88, Product_Type_675, Product_Type_440, Product_Type_44",2,2,2,several,several,several,49,11,12,17,12,3,2,1,1,1,4.0,3.0,Faster Growing than Market,Advanced Business Ties
Customer_1200,30305071,30015885,27813429,32762692,1875426279.39,1531445325.77,1733102568.92,2160774812.95,938044431.65,878721494.58,784504673.96,1045842957.43,4,3,3,4,4.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,High,Medium,Medium,High,High,Low,Medium,Strategic,High,Medium,Low,High,4,"MAT001566, MAT002528, MAT001664, MAT000339",4,"Brand_4268, Brand_2212, Brand_844, Brand_5578",4,"Product_Type_658, Product_Type_524, Product_Type_193, Product_Type_1484",2,2,2,several,several,several,46,8,19,12,16,2,1,1,3,1,2.0,3.0,Faster Growing than Market,Transactional
Customer_1209,22659098,28050571,33176058,32510079,1496656829.08,1880580522.55,1844989763.5,1841106204.53,732665353.37,890611290.34,925016069.95,1077388281.11,1,3,4,4,2.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,Neglectable,Medium,High,High,Low,High,High,High,Low,Medium,High,Strategic,4,"MAT002974, MAT001418, MAT002966, MAT001488",4,"Brand_1648, Brand_6235, Brand_1334, Brand_405",4,"Product_Type_73, Product_Type_43, Product_Type_449, Product_Type_1226",2,2,2,several,several,several,51,15,16,9,11,3,1,1,1,2,1.0,3.0,Faster Growing than Market,Opportunistic
Customer_1223,30074299,32224324,33246240,27470384,1846396230.71,1923713516.78,2039450504.45,1545681655.85,808063604.22,1128123045.09,969346172.34,740742054.75,3,4,4,2,4.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,Medium,High,High,Low,High,High,High,Low,Low,Strategic,High,Low,4,"MAT000383, MAT000694, MAT000823, MAT002619",4,"Brand_697, Brand_1359, Brand_7903, Brand_1139",4,"Product_Type_1379, Product_Type_1134, Product_Type_1168, Product_Type_203",2,2,2,several,several,several,51,12,18,13,11,3,3,1,3,2,2.0,5.0,Innovative & Faster Growing than Market,Transactional
Customer_1227,29861703,25311581,25742856,29385894,1796168352.33,1543006429.08,1777555475.43,2031718102.89,1061444888.37,691198726.25,815540433.9399999,880554107.6999999,3,2,2,3,3.0,2.0,3.0,5.0,5.0,1.0,2.0,3.0,Medium,Low,Low,Medium,Medium,Low,Medium,Strategic,Strategic,Neglectable,Low,Medium,3,"MAT002768, MAT002168, MAT002332",3,"Brand_7128, Brand_4092, Brand_1931",3,"Product_Type_1479, Product_Type_1100, Product_Type_187",2,2,2,several,several,several,48,14,12,9,16,2,1,1,1,1,4.0,3.0,Faster Growing than Market,Advanced Business Ties
Customer_123,30912434,23948583,21551905,26657653,1825643283.85,1343094188.79,1402230870.84,1779763543.88,834929909.42,692622535.22,724648110.25,777239104.91,4,1,1,2,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,High,Neglectable,Neglectable,Low,Medium,Neglectable,Neglectable,Medium,Medium,Neglectable,Neglectable,Low,3,"MAT002280, MAT000608, MAT001673",3,"Brand_7392, Brand_1312, Brand_3774",3,"Product_Type_289, Product_Type_1137, Product_Type_353",2,2,2,several,several,several,43,18,14,11,10,1,1,1,2,2,3.0,3.0,Faster Growing than Market,Pure Business
Customer_1239,31396962,29908735,25360286,25811818,1976474125.25,1932926712.55,1559518236.72,1665393517.17,939731976.33,740469893.37,715770890.39,830347580.45,4,3,2,2,4.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,High,Medium,Low,Low,High,High,Low,Medium,High,Low,Neglectable,Medium,4,"MAT001839, MAT000544, MAT001253, MAT002585",4,"Brand_4437, Brand_7663, Brand_2885, Brand_1384",4,"Product_Type_729, Product_Type_1288, Product_Type_860, Product_Type_746",2,2,2,several,several,several,41,14,12,14,17,1,1,1,1,1,1.0,1.0,Niche Player,Opportunistic
Customer_1242,35441420,30596518,32453008,28819243,2223224992.48,1896533141.46,2283561976.39,1792639290.55,1142575755.1,1018279512.29,1017326491.0,914782441.3,5,4,4,3,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,Strategic,High,High,Medium,Strategic,High,Strategic,Medium,Strategic,High,High,Medium,4,"MAT000618, MAT000350, MAT002041, MAT002144",4,"Brand_7472, Brand_4753, Brand_2538, Brand_6464",4,"Product_Type_525, Product_Type_1344, Product_Type_592, Product_Type_108",2,2,2,several,several,several,62,12,19,13,14,5,3,1,3,1,2.0,2.0,Market Follower,Transactional
Customer_126,32750043,34486307,37432428,30169798,2095584707.71,2082109355.1,1970980908.31,1736529460.2,1072728195.78,915618995.89,832943615.15,813524629.46,4,5,5,4,5.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,High,Strategic,Strategic,High,Strategic,Strategic,High,Medium,Strategic,Medium,Medium,Low,4,"MAT000579, MAT002528, MAT002454, MAT001295",4,"Brand_5072, Brand_2212, Brand_2069, Brand_1766",4,"Product_Type_618, Product_Type_524, Product_Type_808, Product_Type_1087",2,2,2,several,several,several,51,11,17,17,19,3,2,1,1,1,2.0,5.0,Innovative & Faster Growing than Market,Transactional
Customer_1263,25298450,26178944,34955639,35655526,1413042232.64,1607087288.61,1940586127.96,2264304236.47,729585069.71,680931097.8199999,967628915.41,1099059316.93,2,2,5,5,1.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,Low,Low,Strategic,Strategic,Neglectable,Low,High,Strategic,Low,Neglectable,High,Strategic,4,"MAT002402, MAT001865, MAT002815, MAT001155",4,"Brand_6921, Brand_2952, Brand_6938, Brand_1300",4,"Product_Type_1262, Product_Type_1274, Product_Type_494, Product_Type_211",2,2,2,several,several,several,53,17,14,11,9,4,1,1,2,1,4.0,4.0,Innovative,Advanced Business Ties
Customer_1264,28670909,27930357,35225786,30700541,1918959828.92,1730948795.68,2264441697.24,1781978337.34,961730433.49,888878209.5,1234965099.94,924614144.59,3,3,5,4,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,Medium,Medium,Strategic,High,High,Medium,Strategic,Medium,High,Medium,Strategic,High,4,"MAT000352, MAT001317, MAT001663, MAT002666",4,"Brand_3749, Brand_7240, Brand_4292, Brand_3757",4,"Product_Type_84, Product_Type_1218, Product_Type_220, Product_Type_1203",2,2,2,several,several,several,52,15,15,14,9,3,1,1,1,1,2.0,4.0,Innovative,Transactional
Customer_1268,24384751,21966157,20216552,23371721,1425042027.9,1307648877.63,1081288712.68,1224121788.8,676836773.58,652100748.65,614033762.9,607240325.24,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,Neglectable,4,"MAT002861, MAT001279, MAT001859, MAT000512",4,"Brand_4436, Brand_1351, Brand_2133, Brand_4791",4,"Product_Type_273, Product_Type_77, Product_Type_1397, Product_Type_1378",2,2,2,several,several,several,46,14,10,9,8,2,1,2,1,1,1.0,2.0,Market Follower,Opportunistic
Customer_1274,32457203,34367136,36797181,34839615,1753085563.9,2047208901.32,2292593738.24,2259228728.2,781826158.06,1070903994.49,1289103893.41,1017840082.97,4,5,5,5,3.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,High,Strategic,Strategic,Strategic,Medium,High,Strategic,Strategic,Low,Strategic,Strategic,High,4,"MAT000689, MAT002168, MAT002087, MAT000258",4,"Brand_5177, Brand_4092, Brand_6220, Brand_1734",4,"Product_Type_1416, Product_Type_1100, Product_Type_1295, Product_Type_1374",2,2,2,several,several,several,55,16,13,15,12,4,1,1,1,1,3.0,2.0,Market Follower,Pure Business
Customer_1283,31514077,36010059,34603146,30652231,2173825826.36,2230699615.37,2122446744.92,1829462854.73,1200619347.61,1066160910.11,1119245455.23,877656411.22,4,5,5,4,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,High,Strategic,Strategic,High,Strategic,Strategic,Strategic,High,Strategic,Strategic,Strategic,Medium,4,"MAT000126, MAT000864, MAT000302, MAT000919",4,"Brand_4723, Brand_2304, Brand_2604, Brand_4205",4,"Product_Type_675, Product_Type_857, Product_Type_677, Product_Type_897",2,2,2,several,several,several,49,14,9,12,13,3,1,1,3,1,1.0,4.0,Innovative,Opportunistic
