MATERIAL,BRAND,SUB_BRAND
MAT000169,Brand_6357,Sub_Brand_110
MAT000170,Brand_1309,Sub_Brand_62
MAT000171,Brand_2281,Sub_Brand_7
MAT000172,Brand_5946,Sub_Brand_116
MAT000173,Brand_2168,Sub_Brand_64
MAT000174,Brand_4540,Sub_Brand_36
MAT000175,Brand_7199,Sub_Brand_91
MAT000176,Brand_3511,Sub_Brand_97
MAT000177,Brand_4248,Sub_Brand_22
MAT000178,Brand_6416,Sub_Brand_138
MAT000179,Brand_977,Sub_Brand_132
MAT000180,Brand_3870,Sub_Brand_92
MAT000181,Brand_7260,Sub_Brand_125
MAT000182,Brand_3547,Sub_Brand_92
MAT000183,Brand_2408,Sub_Brand_26
MAT000184,Brand_3781,Sub_Brand_2
MAT000185,Brand_1562,Sub_Brand_36
MAT000186,Brand_4859,Sub_Brand_119
MAT000187,Brand_6150,Sub_Brand_39
MAT000188,Brand_5001,Sub_Brand_119
MAT000189,Brand_4471,Sub_Brand_66
MAT000190,Brand_4874,Sub_Brand_66
MAT000191,Brand_2556,Sub_Brand_79
MAT000192,Brand_3686,Sub_Brand_132
MAT000193,Brand_3112,Sub_Brand_51
MAT000194,Brand_4196,Sub_Brand_134
MAT000195,Brand_1236,Sub_Brand_21
MAT000196,Brand_5293,Sub_Brand_7
MAT000197,Brand_1894,Sub_Brand_96
MAT000198,Brand_3765,Sub_Brand_119
MAT000199,Brand_387,Sub_Brand_40
MAT000200,Brand_2166,Sub_Brand_77
MAT000201,Brand_1269,Sub_Brand_104
MAT000202,Brand_5951,Sub_Brand_50
MAT000203,Brand_3485,Sub_Brand_105
MAT000204,Brand_7453,Sub_Brand_21
MAT000205,Brand_92,Sub_Brand_144
MAT000206,Brand_5876,Sub_Brand_68
MAT000207,Brand_2321,Sub_Brand_135
MAT000208,Brand_3489,Sub_Brand_23
MAT000209,Brand_2030,Sub_Brand_65
MAT000210,Brand_6194,Sub_Brand_107
MAT000211,Brand_6953,Sub_Brand_31
MAT000212,Brand_6600,Sub_Brand_91
MAT000213,Brand_7149,Sub_Brand_89
MAT000214,Brand_511,Sub_Brand_22
MAT000215,Brand_2738,Sub_Brand_140
MAT000216,Brand_1987,Sub_Brand_120
MAT000217,Brand_431,Sub_Brand_148
MAT000218,Brand_5169,Sub_Brand_17
MAT000219,Brand_2727,Sub_Brand_111
MAT000220,Brand_3605,Sub_Brand_99
MAT000221,Brand_5656,Sub_Brand_130
MAT000222,Brand_2386,Sub_Brand_64
MAT000223,Brand_7562,Sub_Brand_26
MAT000224,Brand_5116,Sub_Brand_134
MAT000225,Brand_6187,Sub_Brand_67
MAT000226,Brand_806,Sub_Brand_62
MAT000227,Brand_1120,Sub_Brand_101
MAT000228,Brand_4259,Sub_Brand_36
MAT000229,Brand_1385,Sub_Brand_148
MAT000230,Brand_7492,Sub_Brand_121
MAT000231,Brand_6959,Sub_Brand_122
MAT000232,Brand_5014,Sub_Brand_4
MAT000233,Brand_6316,Sub_Brand_141
MAT000234,Brand_105,Sub_Brand_82
MAT000235,Brand_834,Sub_Brand_115
MAT000236,Brand_454,Sub_Brand_72
MAT000237,Brand_6815,Sub_Brand_121
MAT000238,Brand_4443,Sub_Brand_122
MAT000239,Brand_518,Sub_Brand_70
MAT000240,Brand_4403,Sub_Brand_61
MAT000241,Brand_782,Sub_Brand_112
MAT000242,Brand_6400,Sub_Brand_112
MAT000243,Brand_1429,Sub_Brand_7
MAT000244,Brand_5669,Sub_Brand_88
MAT000245,Brand_4922,Sub_Brand_58
MAT000246,Brand_7911,Sub_Brand_130
MAT000247,Brand_3933,Sub_Brand_134
MAT000248,Brand_6967,Sub_Brand_114
MAT000249,Brand_1174,Sub_Brand_118
MAT000250,Brand_2564,Sub_Brand_7
MAT000251,Brand_3017,Sub_Brand_50
MAT000252,Brand_4624,Sub_Brand_11
MAT000253,Brand_6502,Sub_Brand_34
MAT000254,Brand_7513,Sub_Brand_35
MAT000255,Brand_5191,Sub_Brand_122
MAT000256,Brand_396,Sub_Brand_95
MAT000257,Brand_4367,Sub_Brand_36
MAT000258,Brand_1734,Sub_Brand_18
MAT000259,Brand_396,Sub_Brand_105
MAT000260,Brand_5687,Sub_Brand_139
MAT000261,Brand_3300,Sub_Brand_46
MAT000262,Brand_1034,Sub_Brand_86
MAT000263,Brand_6838,Sub_Brand_39
MAT000264,Brand_1499,Sub_Brand_73
MAT000265,Brand_831,Sub_Brand_37
MAT000266,Brand_3505,Sub_Brand_91
MAT000267,Brand_1055,Sub_Brand_50
MAT000268,Brand_3016,Sub_Brand_17
MAT000269,Brand_144,Sub_Brand_4
MAT000270,Brand_5719,Sub_Brand_2
MAT000271,Brand_3296,Sub_Brand_30
MAT000272,Brand_728,Sub_Brand_75
MAT000273,Brand_1389,Sub_Brand_19
MAT000274,Brand_3755,Sub_Brand_62
MAT000275,Brand_5137,Sub_Brand_85
MAT000276,Brand_311,Sub_Brand_117
MAT000277,Brand_3801,Sub_Brand_98
MAT000278,Brand_1240,Sub_Brand_3
MAT000279,Brand_5376,Sub_Brand_48
MAT000280,Brand_3681,Sub_Brand_4
MAT000281,Brand_2809,Sub_Brand_58
MAT000282,Brand_2983,Sub_Brand_66
MAT000283,Brand_3915,Sub_Brand_81
MAT000284,Brand_3691,Sub_Brand_31
MAT000285,Brand_2326,Sub_Brand_28
MAT000286,Brand_2544,Sub_Brand_39
MAT000287,Brand_4961,Sub_Brand_15
MAT000288,Brand_7005,Sub_Brand_27
MAT000289,Brand_5950,Sub_Brand_26
MAT000290,Brand_132,Sub_Brand_74
MAT000291,Brand_6648,Sub_Brand_117
MAT000292,Brand_6885,Sub_Brand_52
MAT000293,Brand_2629,Sub_Brand_6
MAT000294,Brand_3848,Sub_Brand_86
MAT000295,Brand_3266,Sub_Brand_1
MAT000296,Brand_4593,Sub_Brand_70
MAT000297,Brand_2048,Sub_Brand_137
MAT000298,Brand_7905,Sub_Brand_39
MAT000299,Brand_1819,Sub_Brand_143
MAT000300,Brand_3284,Sub_Brand_40
MAT000301,Brand_6515,Sub_Brand_87
MAT000302,Brand_2604,Sub_Brand_114
MAT000303,Brand_5632,Sub_Brand_89
MAT000304,Brand_4401,Sub_Brand_53
MAT000305,Brand_7468,Sub_Brand_123
MAT000306,Brand_3470,Sub_Brand_24
MAT000307,Brand_1031,Sub_Brand_129
MAT000308,Brand_5918,Sub_Brand_7
MAT000309,Brand_4485,Sub_Brand_6
MAT000310,Brand_174,Sub_Brand_131
MAT000311,Brand_2915,Sub_Brand_48
MAT000312,Brand_6344,Sub_Brand_116
MAT000313,Brand_7041,Sub_Brand_88
MAT000314,Brand_1149,Sub_Brand_149
MAT000315,Brand_6064,Sub_Brand_38
MAT000316,Brand_2462,Sub_Brand_12
MAT000317,Brand_7676,Sub_Brand_140
MAT000318,Brand_3658,Sub_Brand_82
MAT000319,Brand_5697,Sub_Brand_41
MAT000320,Brand_3063,Sub_Brand_149
MAT000321,Brand_1115,Sub_Brand_81
MAT000322,Brand_6621,Sub_Brand_39
MAT000323,Brand_4873,Sub_Brand_133
MAT000324,Brand_188,Sub_Brand_98
MAT000325,Brand_2306,Sub_Brand_66
MAT000326,Brand_456,Sub_Brand_113
MAT000327,Brand_1741,Sub_Brand_78
MAT000328,Brand_6332,Sub_Brand_62
MAT000329,Brand_7532,Sub_Brand_23
MAT000330,Brand_7398,Sub_Brand_37
MAT000331,Brand_2710,Sub_Brand_23
MAT000332,Brand_6760,Sub_Brand_113
MAT000333,Brand_6985,Sub_Brand_58
MAT000334,Brand_1573,Sub_Brand_113
MAT000335,Brand_5408,Sub_Brand_71
MAT000336,Brand_2793,Sub_Brand_131
MAT000337,Brand_5447,Sub_Brand_96
MAT000338,Brand_1022,Sub_Brand_79
MAT000339,Brand_5578,Sub_Brand_54
MAT000340,Brand_2778,Sub_Brand_84
MAT000341,Brand_6169,Sub_Brand_56
MAT000342,Brand_3775,Sub_Brand_13
MAT000343,Brand_1481,Sub_Brand_109
MAT000344,Brand_7580,Sub_Brand_106
MAT000345,Brand_1214,Sub_Brand_1
MAT000346,Brand_7921,Sub_Brand_48
MAT000347,Brand_4297,Sub_Brand_52
MAT000348,Brand_3330,Sub_Brand_95
MAT000349,Brand_1484,Sub_Brand_106
MAT000350,Brand_4753,Sub_Brand_118
MAT000351,Brand_55,Sub_Brand_19
MAT000352,Brand_3749,Sub_Brand_95
MAT000353,Brand_2778,Sub_Brand_98
MAT000354,Brand_2172,Sub_Brand_34
MAT000355,Brand_3824,Sub_Brand_120
MAT000356,Brand_121,Sub_Brand_140
MAT000357,Brand_7109,Sub_Brand_24
MAT000358,Brand_6365,Sub_Brand_69
MAT000359,Brand_1988,Sub_Brand_113
MAT000360,Brand_626,Sub_Brand_45
MAT000361,Brand_319,Sub_Brand_86
MAT000362,Brand_2544,Sub_Brand_71
MAT000363,Brand_2256,Sub_Brand_44
MAT000364,Brand_6557,Sub_Brand_92
MAT000365,Brand_1463,Sub_Brand_114
MAT000366,Brand_2093,Sub_Brand_91
MAT000367,Brand_6239,Sub_Brand_36
MAT000368,Brand_4693,Sub_Brand_123
MAT000369,Brand_5758,Sub_Brand_87
MAT000370,Brand_199,Sub_Brand_104
MAT000371,Brand_7577,Sub_Brand_29
MAT000372,Brand_6198,Sub_Brand_66
MAT000373,Brand_2675,Sub_Brand_47
MAT000374,Brand_729,Sub_Brand_7
MAT000375,Brand_3248,Sub_Brand_122
MAT000376,Brand_2576,Sub_Brand_108
MAT000377,Brand_5321,Sub_Brand_149
MAT000378,Brand_1451,Sub_Brand_20
MAT000379,Brand_2703,Sub_Brand_130
MAT000380,Brand_2295,Sub_Brand_2
MAT000381,Brand_2272,Sub_Brand_82
MAT000382,Brand_7329,Sub_Brand_44
MAT000383,Brand_697,Sub_Brand_115
MAT000384,Brand_7345,Sub_Brand_35
MAT000385,Brand_1162,Sub_Brand_60
MAT000386,Brand_2070,Sub_Brand_97
MAT000387,Brand_5858,Sub_Brand_88
MAT000388,Brand_7046,Sub_Brand_123
MAT000389,Brand_4958,Sub_Brand_121
MAT000390,Brand_4764,Sub_Brand_131
MAT000391,Brand_5768,Sub_Brand_39
MAT000392,Brand_5389,Sub_Brand_53
MAT000393,Brand_2109,Sub_Brand_24
MAT000394,Brand_6326,Sub_Brand_56
MAT000395,Brand_6086,Sub_Brand_32
MAT000396,Brand_7481,Sub_Brand_32
MAT000397,Brand_2807,Sub_Brand_49
MAT000398,Brand_1843,Sub_Brand_97
MAT000399,Brand_7156,Sub_Brand_31
MAT000400,Brand_2731,Sub_Brand_48
MAT000401,Brand_7508,Sub_Brand_88
MAT000402,Brand_7171,Sub_Brand_47
MAT000403,Brand_274,Sub_Brand_30
MAT000404,Brand_5727,Sub_Brand_73
MAT000405,Brand_4182,Sub_Brand_32
MAT000406,Brand_4092,Sub_Brand_33
MAT000407,Brand_6536,Sub_Brand_8
MAT000408,Brand_5259,Sub_Brand_20
MAT000409,Brand_1954,Sub_Brand_135
MAT000410,Brand_4682,Sub_Brand_82
MAT000411,Brand_6350,Sub_Brand_66
MAT000412,Brand_6793,Sub_Brand_43
MAT000413,Brand_5581,Sub_Brand_67
MAT000414,Brand_2031,Sub_Brand_5
MAT000415,Brand_7101,Sub_Brand_49
MAT000416,Brand_4696,Sub_Brand_18
MAT000417,Brand_6630,Sub_Brand_120
MAT000418,Brand_4242,Sub_Brand_10
MAT000419,Brand_3083,Sub_Brand_150
MAT000420,Brand_799,Sub_Brand_116
MAT000421,Brand_1960,Sub_Brand_27
MAT000422,Brand_2258,Sub_Brand_37
MAT000423,Brand_4405,Sub_Brand_114
MAT000424,Brand_3724,Sub_Brand_57
MAT000425,Brand_970,Sub_Brand_94
MAT000426,Brand_2992,Sub_Brand_120
MAT000427,Brand_394,Sub_Brand_49
MAT000428,Brand_1477,Sub_Brand_7
MAT000429,Brand_6011,Sub_Brand_48
MAT000430,Brand_6916,Sub_Brand_56
MAT000431,Brand_7120,Sub_Brand_42
MAT000432,Brand_4376,Sub_Brand_134
MAT000433,Brand_698,Sub_Brand_81
MAT000434,Brand_5835,Sub_Brand_98
MAT000435,Brand_561,Sub_Brand_55
MAT000436,Brand_1388,Sub_Brand_82
MAT000437,Brand_2162,Sub_Brand_86
MAT000438,Brand_2770,Sub_Brand_17
MAT000439,Brand_7033,Sub_Brand_9
MAT000440,Brand_1975,Sub_Brand_19
MAT000441,Brand_1475,Sub_Brand_84
MAT000442,Brand_496,Sub_Brand_40
MAT000443,Brand_7794,Sub_Brand_79
MAT000444,Brand_2984,Sub_Brand_1
MAT000445,Brand_3416,Sub_Brand_125
MAT000446,Brand_7443,Sub_Brand_48
MAT000447,Brand_1261,Sub_Brand_135
MAT000448,Brand_1237,Sub_Brand_81
MAT000449,Brand_1399,Sub_Brand_15
MAT000450,Brand_6665,Sub_Brand_16
MAT000451,Brand_312,Sub_Brand_92
MAT000452,Brand_4698,Sub_Brand_142
MAT000453,Brand_5684,Sub_Brand_55
MAT000454,Brand_5238,Sub_Brand_20
MAT000455,Brand_4802,Sub_Brand_142
MAT000456,Brand_7339,Sub_Brand_140
MAT000457,Brand_5239,Sub_Brand_33
MAT000458,Brand_2936,Sub_Brand_71
MAT000459,Brand_2099,Sub_Brand_19
MAT000460,Brand_996,Sub_Brand_75
MAT000461,Brand_3476,Sub_Brand_80
MAT000462,Brand_3151,Sub_Brand_56
MAT000463,Brand_3546,Sub_Brand_99
MAT000464,Brand_2851,Sub_Brand_10
MAT000465,Brand_286,Sub_Brand_135
MAT000466,Brand_7086,Sub_Brand_129
MAT000467,Brand_6151,Sub_Brand_84
MAT000468,Brand_1972,Sub_Brand_19
MAT000469,Brand_4634,Sub_Brand_43
MAT000470,Brand_3778,Sub_Brand_16
MAT000471,Brand_576,Sub_Brand_144
MAT000472,Brand_3716,Sub_Brand_149
MAT000473,Brand_4140,Sub_Brand_21
MAT000474,Brand_2711,Sub_Brand_43
MAT000475,Brand_412,Sub_Brand_143
MAT000476,Brand_1676,Sub_Brand_93
MAT000477,Brand_7955,Sub_Brand_14
MAT000478,Brand_5492,Sub_Brand_94
MAT000479,Brand_3835,Sub_Brand_97
MAT000480,Brand_1433,Sub_Brand_124
MAT000481,Brand_1340,Sub_Brand_144
MAT000482,Brand_1328,Sub_Brand_137
MAT000483,Brand_1953,Sub_Brand_31
MAT000484,Brand_7225,Sub_Brand_92
MAT000485,Brand_6306,Sub_Brand_78
MAT000486,Brand_2962,Sub_Brand_81
MAT000487,Brand_3353,Sub_Brand_82
MAT000488,Brand_1574,Sub_Brand_37
MAT000489,Brand_168,Sub_Brand_58
MAT000490,Brand_4853,Sub_Brand_48
MAT000491,Brand_269,Sub_Brand_34
MAT000492,Brand_5351,Sub_Brand_106
MAT000493,Brand_7145,Sub_Brand_47
MAT000494,Brand_5290,Sub_Brand_83
MAT000495,Brand_2280,Sub_Brand_10
MAT000496,Brand_6537,Sub_Brand_33
MAT000497,Brand_3244,Sub_Brand_128
MAT000498,Brand_2621,Sub_Brand_24
MAT000499,Brand_3225,Sub_Brand_58
MAT000500,Brand_3150,Sub_Brand_82
MAT000501,Brand_4418,Sub_Brand_65
MAT000502,Brand_7466,Sub_Brand_17
MAT000503,Brand_424,Sub_Brand_80
MAT000504,Brand_2733,Sub_Brand_54
MAT000505,Brand_4899,Sub_Brand_13
MAT000506,Brand_434,Sub_Brand_34
MAT000507,Brand_1810,Sub_Brand_46
MAT000508,Brand_803,Sub_Brand_19
MAT000509,Brand_597,Sub_Brand_98
MAT000510,Brand_954,Sub_Brand_101
MAT000511,Brand_5028,Sub_Brand_92
MAT000512,Brand_4791,Sub_Brand_90
MAT000513,Brand_6238,Sub_Brand_68
MAT000514,Brand_3316,Sub_Brand_55
MAT000515,Brand_1834,Sub_Brand_143
MAT000516,Brand_4377,Sub_Brand_61
MAT000517,Brand_6904,Sub_Brand_10
MAT000518,Brand_5953,Sub_Brand_135
MAT000519,Brand_2137,Sub_Brand_145
MAT000520,Brand_6144,Sub_Brand_34
MAT000521,Brand_5637,Sub_Brand_148
MAT000522,Brand_1501,Sub_Brand_79
MAT000523,Brand_1175,Sub_Brand_66
MAT000524,Brand_43,Sub_Brand_99
MAT000525,Brand_2128,Sub_Brand_2
MAT000526,Brand_4494,Sub_Brand_35
MAT000527,Brand_5931,Sub_Brand_30
MAT000528,Brand_159,Sub_Brand_39
MAT000529,Brand_7299,Sub_Brand_8
MAT000530,Brand_3378,Sub_Brand_65
MAT000531,Brand_4958,Sub_Brand_112
MAT000532,Brand_4778,Sub_Brand_67
MAT000533,Brand_7298,Sub_Brand_114
MAT000534,Brand_1058,Sub_Brand_39
MAT000535,Brand_3837,Sub_Brand_96
MAT000536,Brand_4403,Sub_Brand_96
MAT000537,Brand_3699,Sub_Brand_53
MAT000538,Brand_2875,Sub_Brand_40
MAT000539,Brand_4813,Sub_Brand_17
MAT000540,Brand_3507,Sub_Brand_46
MAT000541,Brand_2078,Sub_Brand_123
MAT000542,Brand_3183,Sub_Brand_135
MAT000543,Brand_6899,Sub_Brand_86
MAT000544,Brand_7663,Sub_Brand_89
MAT000545,Brand_3372,Sub_Brand_63
MAT000546,Brand_6099,Sub_Brand_100
MAT000547,Brand_7121,Sub_Brand_5
MAT000548,Brand_303,Sub_Brand_137
MAT000549,Brand_4931,Sub_Brand_71
MAT000550,Brand_1429,Sub_Brand_98
MAT000551,Brand_5262,Sub_Brand_122
MAT000552,Brand_1954,Sub_Brand_134
MAT000553,Brand_108,Sub_Brand_75
MAT000554,Brand_3621,Sub_Brand_20
MAT000555,Brand_2583,Sub_Brand_16
MAT000556,Brand_7831,Sub_Brand_73
MAT000557,Brand_398,Sub_Brand_53
MAT000558,Brand_7367,Sub_Brand_10
MAT000559,Brand_964,Sub_Brand_100
MAT000560,Brand_1571,Sub_Brand_38
MAT000561,Brand_746,Sub_Brand_103
MAT000562,Brand_7518,Sub_Brand_36
MAT000563,Brand_6674,Sub_Brand_99
MAT000564,Brand_348,Sub_Brand_124
MAT000565,Brand_936,Sub_Brand_5
MAT000566,Brand_6834,Sub_Brand_54
MAT000567,Brand_961,Sub_Brand_87
MAT000568,Brand_3437,Sub_Brand_51
MAT000569,Brand_1364,Sub_Brand_11
MAT000570,Brand_4873,Sub_Brand_7
MAT000571,Brand_773,Sub_Brand_49
MAT000572,Brand_1191,Sub_Brand_16
MAT000573,Brand_1086,Sub_Brand_116
MAT000574,Brand_4727,Sub_Brand_83
MAT000575,Brand_667,Sub_Brand_100
MAT000576,Brand_7238,Sub_Brand_46
MAT000577,Brand_81,Sub_Brand_42
MAT000578,Brand_4727,Sub_Brand_61
MAT000579,Brand_5072,Sub_Brand_112
MAT000580,Brand_3931,Sub_Brand_127
MAT000581,Brand_5880,Sub_Brand_98
MAT000582,Brand_5546,Sub_Brand_83
MAT000583,Brand_2633,Sub_Brand_105
MAT000584,Brand_3982,Sub_Brand_16
MAT000585,Brand_2030,Sub_Brand_73
MAT000586,Brand_5914,Sub_Brand_142
MAT000587,Brand_4236,Sub_Brand_82
MAT000588,Brand_4175,Sub_Brand_6
MAT000589,Brand_7267,Sub_Brand_116
MAT000590,Brand_407,Sub_Brand_95
MAT000591,Brand_7431,Sub_Brand_127
MAT000592,Brand_7818,Sub_Brand_9
MAT000593,Brand_2147,Sub_Brand_60
MAT000594,Brand_3321,Sub_Brand_140
MAT000595,Brand_7000,Sub_Brand_18
MAT000596,Brand_4634,Sub_Brand_18
MAT000597,Brand_2474,Sub_Brand_105
MAT000598,Brand_2920,Sub_Brand_127
MAT000599,Brand_2959,Sub_Brand_140
MAT000600,Brand_6344,Sub_Brand_126
MAT000601,Brand_1898,Sub_Brand_131
MAT000602,Brand_3223,Sub_Brand_129
MAT000603,Brand_992,Sub_Brand_119
MAT000604,Brand_7945,Sub_Brand_105
MAT000605,Brand_3099,Sub_Brand_132
MAT000606,Brand_7671,Sub_Brand_50
MAT000607,Brand_1168,Sub_Brand_105
MAT000608,Brand_1312,Sub_Brand_94
MAT000609,Brand_7331,Sub_Brand_38
MAT000610,Brand_5955,Sub_Brand_103
